Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,15.1,14.8,6.8,0.5660000000000001,0.008,205,0.001,834
2,Viper,16.0,14.5,5.9,0.55,0.009000000000000001,217,0.001,964
3,Sova,15.3,14.6,6.5,0.5329999999999999,0.008,213,0.001,836
4,Yoru,16.4,16.0,4.5,0.525,0.008,223,0.002,846
5,Phoenix,17.4,15.3,4.6,0.524,0.01,238,0.001,1050
6,Deadlock,16.0,15.0,3.7,0.523,0.024,210,0.001,2523
7,Raze,17.2,16.1,4.5,0.514,0.114,242,0.002,11867
8,Killjoy,15.4,14.6,3.2,0.512,0.105,206,0.001,10964
9,Neon,16.7,16.9,4.3,0.509,0.009000000000000001,228,0.002,977
10,Jett,17.6,16.2,3.3,0.505,0.16699999999999998,237,0.002,17381
11,Brimstone,14.6,14.9,10.6,0.505,0.012,204,0.001,1285
12,Gekko,14.8,15.0,4.8,0.503,0.034,194,0.001,3485
13,Astra,15.4,14.7,7.6,0.501,0.021,204,0.001,2165
14,Omen,15.1,15.2,9.0,0.499,0.15,202,0.001,15546
15,Reyna,17.7,15.7,4.2,0.49700000000000005,0.07,238,0.002,7281
16,Skye,14.4,15.1,9.1,0.49700000000000005,0.091,194,0.001,9494
17,Cypher,15.4,14.9,4.5,0.493,0.016,203,0.001,1632
18,KAY/O,15.0,15.4,10.5,0.49,0.002,208,0.001,241
19,Fade,14.9,15.1,7.4,0.48700000000000004,0.013000000000000001,202,0.001,1336
20,Breach,14.1,15.2,8.2,0.484,0.057,192,0.001,5955
21,Chamber,16.8,15.3,2.4,0.47600000000000003,0.065,220,0.002,6707
22,Harbor,14.3,15.0,6.9,0.447,0.006,196,0.001,586
