Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,16.6,16.0,4.7,0.514,0.03,238,0.002,4796
2,Brimstone,14.6,15.1,9.4,0.513,0.017,206,0.001,2752
3,Phoenix,17.4,15.8,4.9,0.512,0.042,240,0.002,6795
4,Killjoy,15.3,14.5,3.4,0.51,0.076,208,0.001,12420
5,Deadlock,15.8,15.1,3.8,0.508,0.032,210,0.001,5225
6,Sova,14.8,14.6,6.0,0.508,0.013,206,0.001,2132
7,Reyna,17.5,15.8,4.2,0.507,0.086,239,0.002,13976
8,Viper,15.3,14.8,6.3,0.506,0.063,210,0.001,10300
9,Gekko,14.6,15.1,4.9,0.506,0.038,195,0.001,6145
10,Cypher,15.1,14.8,4.5,0.505,0.042,202,0.001,6832
11,Yoru,15.8,15.6,4.4,0.502,0.011,219,0.002,1713
12,Fade,14.8,15.1,6.5,0.501,0.053,200,0.001,8570
13,Astra,15.1,14.6,7.2,0.499,0.087,203,0.001,14141
14,Skye,14.4,15.2,8.1,0.496,0.081,196,0.001,13197
15,Jett,17.2,16.0,3.4,0.494,0.19,234,0.002,30861
16,Sage,14.5,15.3,6.9,0.491,0.021,199,0.001,3412
17,Chamber,16.4,15.1,2.5,0.488,0.0559999999999999,218,0.002,9080
18,Omen,14.9,15.2,7.6,0.482,0.011,203,0.001,1782
19,Neon,15.9,16.6,4.1,0.474,0.006,223,0.002,948
20,Harbor,14.0,15.3,6.6,0.46,0.0279999999999999,191,0.001,4508
21,KAY/O,14.5,15.6,9.1,0.4579999999999999,0.015,204,0.001,2365
22,Breach,14.8,15.3,7.3,0.437,0.003,205,0.001,551
1,Sage,14.9,15.1,6.9,0.544,0.01,203,0.001,2010
2,Brimstone,14.2,14.8,10.0,0.519,0.018,202,0.001,3593
3,Gekko,14.4,15.1,4.9,0.514,0.024,194,0.001,4837
4,Skye,14.3,15.2,8.1,0.509,0.091,196,0.001,18180
5,Viper,15.4,14.8,6.5,0.508,0.037,212,0.001,7313
6,Phoenix,17.2,15.8,5.0,0.504,0.049,238,0.002,9738
7,Killjoy,15.1,14.7,3.5,0.504,0.079,207,0.001,15721
8,Deadlock,15.7,15.1,3.8,0.5,0.033,210,0.001,6619
9,Jett,17.1,15.9,3.4,0.498,0.183,232,0.002,36612
10,Cypher,14.9,14.7,4.6,0.498,0.0409999999999999,200,0.001,8274
11,Astra,15.0,14.5,7.4,0.497,0.123,202,0.001,24556
12,Sova,14.5,14.6,6.0,0.495,0.0139999999999999,203,0.001,2770
13,Reyna,17.6,15.7,4.2,0.493,0.099,239,0.002,19758
14,Breach,14.0,15.5,7.5,0.492,0.002,193,0.001,463
15,Fade,14.7,15.2,6.6,0.492,0.0579999999999999,200,0.001,11651
16,Raze,16.6,16.0,4.8,0.487,0.0289999999999999,237,0.002,5785
17,Neon,16.0,16.3,4.2,0.484,0.006,222,0.002,1103
18,Chamber,16.2,15.1,2.5,0.482,0.049,216,0.002,9882
19,Omen,14.3,15.1,8.3,0.481,0.009,197,0.001,1786
20,Yoru,15.9,15.7,4.5,0.476,0.013,219,0.002,2554
21,Harbor,14.1,15.1,6.7,0.474,0.021,192,0.001,4222
22,KAY/O,14.6,15.8,9.7,0.451,0.012,203,0.001,2380
1,Phoenix,17.2,15.7,4.9,0.5379999999999999,0.055,238,0.002,5651
2,Sage,14.7,15.0,6.7,0.53,0.011,202,0.001,1126
3,Brimstone,14.7,14.9,9.9,0.529,0.0139999999999999,205,0.001,1481
4,Raze,16.8,16.0,4.7,0.526,0.023,238,0.002,2361
5,Deadlock,16.0,15.1,3.7,0.526,0.023,213,0.001,2389
6,Gekko,14.7,15.1,4.8,0.518,0.025,195,0.001,2542
7,Viper,15.4,14.8,6.1,0.517,0.037,212,0.001,3796
8,Jett,17.3,16.0,3.3,0.51,0.198,234,0.002,20497
9,Killjoy,15.5,14.8,3.3,0.506,0.093,210,0.001,9641
10,Reyna,17.5,15.7,4.1,0.504,0.09,239,0.002,9362
11,Astra,15.0,14.5,7.4,0.501,0.133,202,0.001,13734
12,Cypher,14.9,14.7,4.5,0.498,0.04,200,0.001,4127
13,Sova,15.0,14.7,6.1,0.497,0.016,209,0.001,1640
14,Skye,14.3,15.2,8.1,0.495,0.089,196,0.001,9179
15,Fade,14.7,15.2,6.5,0.491,0.063,200,0.001,6485
16,Omen,15.7,15.3,7.9,0.485,0.0069999999999999,211,0.001,728
17,Chamber,16.4,15.1,2.4,0.479,0.0409999999999999,216,0.002,4242
18,Neon,15.9,16.8,4.3,0.472,0.006,222,0.002,578
19,KAY/O,14.8,15.7,9.6,0.462,0.011,205,0.001,1134
20,Yoru,16.1,16.1,4.5,0.461,0.011,220,0.002,1097
21,Harbor,14.3,15.4,6.7,0.46,0.015,193,0.001,1586
22,Breach,15.5,15.1,8.2,0.451,0.002,211,0.001,215
