Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,16.6,16.0,4.7,0.514,0.03,238,0.002,4796
2,Brimstone,14.6,15.1,9.4,0.513,0.017,206,0.001,2752
3,Phoenix,17.4,15.8,4.9,0.512,0.042,240,0.002,6795
4,Killjoy,15.3,14.5,3.4,0.51,0.076,208,0.001,12420
5,Deadlock,15.8,15.1,3.8,0.508,0.032,210,0.001,5225
6,Sova,14.8,14.6,6.0,0.508,0.013000000000000001,206,0.001,2132
7,Reyna,17.5,15.8,4.2,0.507,0.086,239,0.002,13976
8,Viper,15.3,14.8,6.3,0.506,0.063,210,0.001,10300
9,Gekko,14.6,15.1,4.9,0.506,0.038,195,0.001,6145
10,Cypher,15.1,14.8,4.5,0.505,0.042,202,0.001,6832
11,Yoru,15.8,15.6,4.4,0.502,0.011000000000000001,219,0.002,1713
12,Fade,14.8,15.1,6.5,0.501,0.053,200,0.001,8570
13,Astra,15.1,14.6,7.2,0.499,0.087,203,0.001,14141
14,Skye,14.4,15.2,8.1,0.496,0.081,196,0.001,13197
15,Jett,17.2,16.0,3.4,0.494,0.19,234,0.002,30861
16,Sage,14.5,15.3,6.9,0.491,0.021,199,0.001,3412
17,Chamber,16.4,15.1,2.5,0.488,0.055999999999999994,218,0.002,9080
18,Omen,14.9,15.2,7.6,0.48200000000000004,0.011000000000000001,203,0.001,1782
19,Neon,15.9,16.6,4.1,0.474,0.006,223,0.002,948
20,Harbor,14.0,15.3,6.6,0.46,0.027999999999999997,191,0.001,4508
21,KAY/O,14.5,15.6,9.1,0.45799999999999996,0.015,204,0.001,2365
22,Breach,14.8,15.3,7.3,0.43700000000000006,0.003,205,0.001,551
