Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,15.0,15.0,10.5,0.532,0.02,211,0.001,3222
2,Harbor,14.6,15.4,7.1,0.52,0.001,197,0.001,125
3,Sage,14.9,15.1,7.3,0.514,0.102,204,0.001,16647
4,Gekko,14.9,15.2,4.6,0.507,0.006,199,0.001,967
5,Raze,17.1,16.4,4.8,0.503,0.121,245,0.002,19714
6,Reyna,17.7,15.8,4.2,0.497,0.064,240,0.002,10500
7,Phoenix,16.8,15.7,4.6,0.497,0.009,235,0.002,1476
8,Omen,15.1,15.0,8.6,0.497,0.122,205,0.001,19919
9,Skye,14.7,15.1,8.1,0.496,0.12,199,0.001,19596
10,Astra,15.5,14.6,7.5,0.495,0.0409999999999999,210,0.001,6755
11,Killjoy,15.4,14.6,3.3,0.491,0.05,208,0.001,8157
12,Fade,14.9,15.2,6.1,0.491,0.0069999999999999,202,0.001,1066
13,Neon,16.9,16.6,4.0,0.489,0.003,229,0.002,534
14,Deadlock,15.5,15.0,3.7,0.488,0.038,235,0.001,6230
15,Jett,17.5,16.3,3.5,0.487,0.152,239,0.002,24783
16,Cypher,15.1,14.7,4.3,0.481,0.064,201,0.001,10475
17,Sova,15.0,15.1,6.0,0.479,0.004,208,0.001,616
18,Viper,16.0,14.9,5.5,0.47,0.0069999999999999,220,0.001,1159
19,Chamber,16.6,15.3,2.6,0.469,0.0289999999999999,221,0.002,4768
20,Yoru,16.1,15.7,4.4,0.4679999999999999,0.008,221,0.002,1227
21,Breach,14.4,15.3,7.8,0.467,0.022,196,0.001,3567
22,KAY/O,14.9,15.6,9.4,0.4579999999999999,0.009,207,0.001,1390
1,Brimstone,14.8,14.9,10.8,0.528,0.018,211,0.001,3712
2,Sage,14.9,15.1,7.4,0.523,0.091,203,0.001,18339
3,Killjoy,15.2,14.5,3.3,0.508,0.0409999999999999,207,0.001,8212
4,Raze,17.0,16.3,4.9,0.506,0.14,244,0.002,28323
5,Chamber,16.9,15.2,2.5,0.505,0.024,223,0.002,4912
6,Reyna,17.5,15.8,4.2,0.505,0.071,239,0.002,14293
7,Phoenix,17.2,15.8,4.8,0.503,0.01,237,0.002,2003
8,Omen,15.0,15.0,9.0,0.498,0.118,205,0.001,23909
9,Astra,15.6,14.7,7.8,0.497,0.05,209,0.001,10116
10,Jett,17.6,16.3,3.5,0.497,0.144,240,0.002,29102
11,Skye,14.5,15.1,8.4,0.495,0.142,198,0.001,28652
12,Fade,14.9,15.2,6.3,0.494,0.006,202,0.001,1203
13,Deadlock,15.6,15.1,3.8,0.49,0.0409999999999999,239,0.001,8215
14,Cypher,14.8,14.8,4.4,0.479,0.059,199,0.001,11937
15,Neon,16.0,16.5,4.0,0.479,0.003,220,0.002,698
16,Yoru,16.0,15.7,4.4,0.475,0.008,220,0.002,1666
17,KAY/O,14.7,15.7,9.7,0.475,0.0069999999999999,207,0.001,1349
18,Breach,14.5,15.3,8.3,0.473,0.013,199,0.001,2546
19,Sova,14.7,14.9,6.0,0.471,0.002,209,0.001,490
20,Gekko,14.7,15.1,4.6,0.465,0.004,197,0.001,832
21,Viper,15.4,15.0,5.6,0.4589999999999999,0.0069999999999999,213,0.001,1494
22,Harbor,13.8,15.6,6.4,0.444,0.001,187,0.001,162
1,Gekko,15.3,14.9,4.7,0.534,0.004,207,0.001,399
2,Brimstone,14.5,14.9,10.8,0.524,0.015,208,0.001,1621
3,Sage,15.0,15.1,7.3,0.519,0.096,204,0.001,10035
4,Reyna,17.9,15.8,4.2,0.515,0.064,243,0.002,6726
5,Jett,17.8,16.2,3.4,0.506,0.153,241,0.002,16053
6,Neon,16.1,16.6,4.4,0.506,0.003,224,0.002,338
7,Raze,17.2,16.4,4.8,0.505,0.142,247,0.002,14866
8,Deadlock,16.2,15.3,3.7,0.505,0.031,266,0.001,3195
9,Killjoy,15.5,14.5,3.3,0.503,0.0409999999999999,210,0.001,4322
10,Sova,15.4,14.7,5.7,0.5,0.002,217,0.001,192
11,Omen,14.9,15.0,9.0,0.499,0.126,202,0.001,13149
12,Skye,14.6,15.1,8.4,0.495,0.134,197,0.001,14057
13,Cypher,15.2,14.7,4.2,0.495,0.073,201,0.001,7611
14,Phoenix,16.8,15.9,4.8,0.49,0.008,233,0.002,802
15,Chamber,16.9,15.4,2.6,0.481,0.023,223,0.002,2460
16,Astra,15.3,14.7,7.7,0.474,0.049,206,0.001,5083
17,Fade,15.1,15.4,6.5,0.473,0.004,205,0.001,389
18,KAY/O,14.9,15.7,9.4,0.46,0.005,207,0.001,498
19,Yoru,16.5,15.8,4.4,0.4589999999999999,0.0069999999999999,227,0.002,740
20,Viper,16.2,15.3,5.4,0.4589999999999999,0.0069999999999999,221,0.001,747
21,Breach,14.1,15.4,8.1,0.447,0.013,194,0.001,1397
22,Harbor,13.5,14.8,6.1,0.407,0.0,183,0.001,27
