Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,15.0,15.0,10.5,0.532,0.02,211,0.001,3222
2,Harbor,14.6,15.4,7.1,0.52,0.001,197,0.001,125
3,Sage,14.9,15.1,7.3,0.514,0.102,204,0.001,16647
4,Gekko,14.9,15.2,4.6,0.507,0.006,199,0.001,967
5,Raze,17.1,16.4,4.8,0.503,0.121,245,0.002,19714
6,Reyna,17.7,15.8,4.2,0.49700000000000005,0.064,240,0.002,10500
7,Phoenix,16.8,15.7,4.6,0.49700000000000005,0.009000000000000001,235,0.002,1476
8,Omen,15.1,15.0,8.6,0.49700000000000005,0.122,205,0.001,19919
9,Skye,14.7,15.1,8.1,0.496,0.12,199,0.001,19596
10,Astra,15.5,14.6,7.5,0.495,0.040999999999999995,210,0.001,6755
11,Killjoy,15.4,14.6,3.3,0.491,0.05,208,0.001,8157
12,Fade,14.9,15.2,6.1,0.491,0.006999999999999999,202,0.001,1066
13,Neon,16.9,16.6,4.0,0.489,0.003,229,0.002,534
14,Deadlock,15.5,15.0,3.7,0.488,0.038,235,0.001,6230
15,Jett,17.5,16.3,3.5,0.48700000000000004,0.152,239,0.002,24783
16,Cypher,15.1,14.7,4.3,0.48100000000000004,0.064,201,0.001,10475
17,Sova,15.0,15.1,6.0,0.479,0.004,208,0.001,616
18,Viper,16.0,14.9,5.5,0.47,0.006999999999999999,220,0.001,1159
19,Chamber,16.6,15.3,2.6,0.469,0.028999999999999998,221,0.002,4768
20,Yoru,16.1,15.7,4.4,0.46799999999999997,0.008,221,0.002,1227
21,Breach,14.4,15.3,7.8,0.467,0.022000000000000002,196,0.001,3567
22,KAY/O,14.9,15.6,9.4,0.45799999999999996,0.009000000000000001,207,0.001,1390
