Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.1,13.6,4.1,0.514,0.043,168,0.001,9865
2,Astra,11.8,13.1,4.5,0.514,0.005,176,0.001,1172
3,Raze,12.7,14.5,4.9,0.508,0.079,197,0.001,17932
4,Cypher,11.0,13.6,4.6,0.502,0.023,161,0.001,5240
5,Brimstone,11.5,14.1,6.0,0.501,0.036,175,0.001,8223
6,Sage,10.1,13.9,5.9,0.5,0.123,150,0.001,28069
7,Reyna,13.6,14.5,4.3,0.498,0.103,201,0.002,23556
8,Sova,11.2,14.1,4.9,0.495,0.044,168,0.001,10127
9,Skye,10.7,14.3,6.8,0.493,0.038,160,0.001,8679
10,Omen,11.8,14.4,4.8,0.493,0.062,174,0.001,14141
11,Phoenix,12.2,14.3,4.1,0.49,0.048,183,0.002,11038
12,Gekko,10.7,14.5,4.4,0.49,0.049,157,0.001,11114
13,Deadlock,11.4,14.4,3.7,0.489,0.057,166,0.001,12980
14,Chamber,12.1,14.0,3.2,0.488,0.02,178,0.002,4473
15,Jett,12.6,14.6,3.6,0.48,0.063,187,0.002,14377
16,Fade,10.4,14.5,5.7,0.479,0.038,157,0.001,8612
17,Viper,10.7,14.2,4.5,0.479,0.03,160,0.001,6752
18,Neon,11.5,14.7,3.7,0.477,0.0409999999999999,173,0.002,9386
19,Yoru,11.8,14.6,3.9,0.472,0.049,173,0.001,11057
20,KAY/O,10.5,14.5,6.9,0.472,0.025,162,0.001,5778
21,Breach,11.5,14.3,5.0,0.47,0.0139999999999999,172,0.001,3290
22,Harbor,10.9,14.7,4.7,0.461,0.008,160,0.001,1792
1,Killjoy,12.3,13.7,4.3,0.519,0.053,183,0.001,48751
2,Sage,11.1,14.2,6.4,0.507,0.12,162,0.001,109396
3,Brimstone,12.4,14.4,6.7,0.506,0.04,185,0.001,36434
4,Raze,13.7,14.9,5.2,0.504,0.075,209,0.001,68440
5,Deadlock,12.4,14.6,3.9,0.497,0.054,183,0.001,48935
6,Sova,12.1,14.3,5.2,0.497,0.047,179,0.001,42716
7,Reyna,14.7,14.9,4.6,0.497,0.105,214,0.002,95857
8,Skye,11.5,14.5,7.3,0.494,0.044,171,0.001,40070
9,Omen,12.8,14.6,5.4,0.494,0.071,185,0.001,65095
10,Jett,13.8,15.0,3.9,0.49,0.06,203,0.002,54908
11,Astra,12.6,14.1,5.2,0.489,0.006,182,0.001,5573
12,Fade,11.4,14.7,6.0,0.489,0.035,169,0.001,31515
13,Cypher,12.1,14.0,4.8,0.488,0.025,174,0.001,22865
14,Gekko,11.5,14.7,4.6,0.487,0.046,166,0.001,42268
15,Viper,12.0,14.4,4.9,0.484,0.0279999999999999,177,0.001,25398
16,Breach,12.6,14.8,5.6,0.482,0.016,184,0.001,14707
17,Phoenix,13.4,14.7,4.5,0.482,0.044,199,0.002,40042
18,Chamber,13.4,14.5,3.5,0.478,0.021,192,0.002,18856
19,Neon,13.0,15.3,4.0,0.472,0.035,191,0.002,32281
20,KAY/O,11.6,14.9,7.4,0.472,0.027,175,0.001,24295
21,Harbor,11.6,14.8,5.3,0.47,0.008,170,0.001,7416
22,Yoru,12.8,14.9,4.1,0.4679999999999999,0.0409999999999999,186,0.001,37285
1,Killjoy,13.0,13.9,4.3,0.515,0.065,191,0.001,182175
2,Brimstone,13.2,14.6,7.3,0.506,0.046,194,0.001,127020
3,Sage,11.8,14.4,6.7,0.499,0.114,172,0.001,318858
4,Reyna,15.6,15.1,4.7,0.498,0.107,226,0.002,299000
5,Raze,14.4,15.2,5.2,0.498,0.07,219,0.002,195501
6,Viper,12.7,14.4,5.2,0.496,0.027,186,0.001,75747
7,Sova,12.9,14.4,5.4,0.495,0.049,189,0.001,136292
8,Omen,13.5,14.8,6.0,0.493,0.079,193,0.001,221118
9,Deadlock,13.1,14.7,4.0,0.49,0.048,194,0.001,133375
10,Phoenix,14.4,14.9,4.7,0.49,0.04,211,0.002,111177
11,Cypher,12.8,14.2,5.0,0.49,0.027,182,0.001,76201
12,Skye,12.1,14.7,7.6,0.489,0.047,178,0.001,132517
13,Jett,14.9,15.2,4.0,0.489,0.061,215,0.002,171349
14,Astra,13.4,14.4,5.6,0.488,0.0069999999999999,191,0.001,20548
15,Chamber,14.3,14.6,3.5,0.487,0.023,202,0.002,62807
16,Gekko,12.2,14.9,4.7,0.483,0.042,175,0.001,117794
17,Fade,12.2,14.8,6.2,0.482,0.031,178,0.001,87284
18,Breach,13.2,15.1,5.8,0.481,0.018,192,0.001,48932
19,Neon,13.9,15.6,4.2,0.474,0.03,203,0.002,83506
20,KAY/O,12.3,15.0,7.7,0.471,0.0279999999999999,183,0.001,77914
21,Harbor,12.4,14.9,5.5,0.466,0.008,179,0.001,23424
22,Yoru,13.5,15.1,4.2,0.4589999999999999,0.032,195,0.001,88612
