Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.1,13.6,4.1,0.514,0.043,168,0.001,9865
2,Astra,11.8,13.1,4.5,0.514,0.005,176,0.001,1172
3,Raze,12.7,14.5,4.9,0.508,0.079,197,0.001,17932
4,Cypher,11.0,13.6,4.6,0.502,0.023,161,0.001,5240
5,Brimstone,11.5,14.1,6.0,0.501,0.036000000000000004,175,0.001,8223
6,Sage,10.1,13.9,5.9,0.5,0.12300000000000001,150,0.001,28069
7,Reyna,13.6,14.5,4.3,0.498,0.10300000000000001,201,0.002,23556
8,Sova,11.2,14.1,4.9,0.495,0.044000000000000004,168,0.001,10127
9,Skye,10.7,14.3,6.8,0.493,0.038,160,0.001,8679
10,Omen,11.8,14.4,4.8,0.493,0.062,174,0.001,14141
11,Phoenix,12.2,14.3,4.1,0.49,0.048,183,0.002,11038
12,Gekko,10.7,14.5,4.4,0.49,0.049,157,0.001,11114
13,Deadlock,11.4,14.4,3.7,0.489,0.057,166,0.001,12980
14,Chamber,12.1,14.0,3.2,0.488,0.02,178,0.002,4473
15,Jett,12.6,14.6,3.6,0.48,0.063,187,0.002,14377
16,Fade,10.4,14.5,5.7,0.479,0.038,157,0.001,8612
17,Viper,10.7,14.2,4.5,0.479,0.03,160,0.001,6752
18,Neon,11.5,14.7,3.7,0.47700000000000004,0.040999999999999995,173,0.002,9386
19,Yoru,11.8,14.6,3.9,0.47200000000000003,0.049,173,0.001,11057
20,KAY/O,10.5,14.5,6.9,0.47200000000000003,0.025,162,0.001,5778
21,Breach,11.5,14.3,5.0,0.47,0.013999999999999999,172,0.001,3290
22,Harbor,10.9,14.7,4.7,0.461,0.008,160,0.001,1792
