Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.0,13.7,3.8,0.521,0.037,167,0.001,8483
2,Brimstone,11.6,14.0,5.3,0.507,0.04,175,0.001,9306
3,Sage,10.2,14.2,5.5,0.503,0.122,152,0.001,28031
4,Harbor,10.8,14.3,4.6,0.5,0.009,162,0.001,2062
5,Gekko,10.9,14.6,4.2,0.499,0.05,160,0.001,11459
6,Cypher,11.4,13.9,4.5,0.497,0.026,165,0.001,6052
7,Omen,11.9,14.5,4.4,0.496,0.0579999999999999,175,0.001,13339
8,Skye,10.8,14.3,6.1,0.496,0.04,163,0.001,9183
9,Reyna,13.8,14.5,4.1,0.496,0.106,203,0.002,24272
10,Jett,12.5,14.5,3.5,0.493,0.059,186,0.002,13653
11,Raze,12.7,14.6,4.4,0.492,0.08,195,0.001,18350
12,Viper,10.9,14.3,4.3,0.49,0.033,163,0.001,7676
13,Sova,10.9,14.3,4.4,0.489,0.037,164,0.001,8479
14,Chamber,12.0,14.1,3.2,0.488,0.02,175,0.001,4700
15,Deadlock,11.5,14.5,3.7,0.486,0.06,167,0.001,13828
16,Neon,11.8,14.8,3.6,0.485,0.042,177,0.002,9552
17,Fade,10.5,14.7,5.5,0.481,0.039,158,0.001,8864
18,Breach,11.6,14.2,4.7,0.48,0.0139999999999999,174,0.001,3181
19,Astra,11.4,13.2,4.1,0.476,0.005,171,0.001,1093
20,Yoru,11.9,14.6,3.8,0.475,0.05,175,0.001,11531
21,Phoenix,12.1,14.4,3.9,0.471,0.049,182,0.002,11279
22,KAY/O,10.7,14.7,6.7,0.471,0.024,165,0.001,5454
1,Killjoy,12.0,13.8,4.0,0.514,0.0409999999999999,179,0.001,37731
2,Brimstone,12.7,14.4,6.0,0.509,0.047,187,0.001,42701
3,Sage,11.2,14.4,5.9,0.505,0.12,164,0.001,109817
4,Raze,13.8,14.9,4.7,0.501,0.08,208,0.001,73222
5,Cypher,12.2,14.0,4.7,0.499,0.031,176,0.001,28212
6,Gekko,11.7,14.8,4.4,0.499,0.049,170,0.001,44904
7,Skye,11.8,14.6,6.6,0.499,0.052,174,0.001,47291
8,Reyna,14.9,14.8,4.4,0.499,0.105,217,0.002,96727
9,Omen,12.9,14.7,4.9,0.495,0.065,186,0.001,59825
10,Breach,12.6,14.9,5.1,0.495,0.016,184,0.001,14734
11,Deadlock,12.6,14.7,3.9,0.494,0.055,188,0.001,50265
12,Viper,12.1,14.4,4.6,0.494,0.032,178,0.001,29193
13,Astra,12.6,14.1,4.7,0.492,0.006,182,0.001,5210
14,Fade,11.6,14.8,5.7,0.49,0.036,171,0.001,32966
15,Jett,13.7,15.0,3.7,0.484,0.054,200,0.002,49427
16,Sova,11.9,14.6,4.7,0.483,0.035,176,0.001,31974
17,Phoenix,13.5,14.7,4.2,0.482,0.045,199,0.002,40962
18,Neon,13.2,15.3,3.9,0.48,0.036,193,0.002,33451
19,Chamber,13.2,14.4,3.3,0.476,0.022,188,0.001,20408
20,Yoru,12.8,14.9,4.0,0.469,0.042,186,0.001,38933
21,KAY/O,11.8,15.0,7.1,0.467,0.024,176,0.001,22061
22,Harbor,11.8,14.8,4.9,0.462,0.009,172,0.001,8078
1,Killjoy,12.6,14.0,4.0,0.514,0.046,186,0.001,130225
2,Brimstone,13.2,14.5,6.5,0.505,0.055,193,0.001,153342
3,Sage,11.9,14.5,6.2,0.5,0.115,173,0.001,322291
4,Reyna,15.8,15.0,4.4,0.499,0.108,228,0.002,302345
5,Cypher,12.9,14.1,4.7,0.496,0.035,183,0.001,98422
6,Raze,14.6,15.2,4.8,0.496,0.078,218,0.002,218540
7,Viper,12.9,14.5,4.9,0.493,0.032,187,0.001,88586
8,Skye,12.4,14.7,6.9,0.493,0.059,181,0.001,164607
9,Gekko,12.4,14.9,4.5,0.493,0.046,178,0.001,130170
10,Astra,13.3,14.3,5.0,0.492,0.0069999999999999,190,0.001,19712
11,Deadlock,13.2,14.8,3.9,0.492,0.05,197,0.001,138984
12,Phoenix,14.5,14.9,4.4,0.49,0.04,211,0.002,113550
13,Omen,13.5,14.8,5.3,0.488,0.07,194,0.001,196500
14,Jett,14.8,15.2,3.8,0.488,0.054,214,0.002,150266
15,Fade,12.3,14.9,5.9,0.486,0.034,180,0.001,94194
16,Breach,13.2,15.1,5.3,0.486,0.018,191,0.001,51723
17,Sova,12.6,14.6,4.9,0.486,0.033,184,0.001,91579
18,Chamber,14.0,14.4,3.3,0.483,0.024,198,0.001,68583
19,Neon,14.2,15.5,4.0,0.476,0.03,206,0.002,85369
20,Harbor,12.3,14.9,5.0,0.469,0.009,178,0.001,26242
21,Yoru,13.5,15.1,4.1,0.4629999999999999,0.034,195,0.001,95376
22,KAY/O,12.3,15.1,7.3,0.461,0.024,184,0.001,66949
