Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,12.6,14.0,4.0,0.514,0.046,186,0.001,130225
2,Brimstone,13.2,14.5,6.5,0.505,0.055,193,0.001,153342
3,Sage,11.9,14.5,6.2,0.5,0.115,173,0.001,322291
4,Reyna,15.8,15.0,4.4,0.499,0.10800000000000001,228,0.002,302345
5,Cypher,12.9,14.1,4.7,0.496,0.035,183,0.001,98422
6,Raze,14.6,15.2,4.8,0.496,0.078,218,0.002,218540
7,Viper,12.9,14.5,4.9,0.493,0.032,187,0.001,88586
8,Skye,12.4,14.7,6.9,0.493,0.059000000000000004,181,0.001,164607
9,Gekko,12.4,14.9,4.5,0.493,0.046,178,0.001,130170
10,Astra,13.3,14.3,5.0,0.49200000000000005,0.006999999999999999,190,0.001,19712
11,Deadlock,13.2,14.8,3.9,0.49200000000000005,0.05,197,0.001,138984
12,Phoenix,14.5,14.9,4.4,0.49,0.04,211,0.002,113550
13,Omen,13.5,14.8,5.3,0.488,0.07,194,0.001,196500
14,Jett,14.8,15.2,3.8,0.488,0.054000000000000006,214,0.002,150266
15,Fade,12.3,14.9,5.9,0.486,0.034,180,0.001,94194
16,Breach,13.2,15.1,5.3,0.486,0.018000000000000002,191,0.001,51723
17,Sova,12.6,14.6,4.9,0.486,0.033,184,0.001,91579
18,Chamber,14.0,14.4,3.3,0.483,0.024,198,0.001,68583
19,Neon,14.2,15.5,4.0,0.47600000000000003,0.03,206,0.002,85369
20,Harbor,12.3,14.9,5.0,0.469,0.009000000000000001,178,0.001,26242
21,Yoru,13.5,15.1,4.1,0.46299999999999997,0.034,195,0.001,95376
22,KAY/O,12.3,15.1,7.3,0.461,0.024,184,0.001,66949
