Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Skye,10.5,13.9,6.6,0.509,0.039,159,0.001,8931
2,Breach,11.7,14.0,5.2,0.507,0.019,179,0.001,4329
3,Killjoy,10.8,13.6,3.9,0.504,0.039,165,0.001,8741
4,Sage,9.8,13.9,5.7,0.502,0.121,148,0.001,27399
5,Deadlock,11.5,14.2,3.7,0.501,0.059,189,0.001,13448
6,Reyna,13.6,14.3,4.3,0.5,0.105,204,0.002,23820
7,Gekko,10.7,14.3,4.4,0.499,0.05,159,0.001,11419
8,Fade,10.3,14.3,5.8,0.499,0.038,156,0.001,8677
9,Brimstone,11.4,13.9,5.5,0.498,0.0409999999999999,173,0.001,9252
10,Viper,10.8,14.1,4.5,0.498,0.033,162,0.001,7370
11,Raze,12.6,14.4,4.6,0.498,0.078,195,0.001,17591
12,Jett,12.5,14.3,3.7,0.492,0.06,188,0.002,13680
13,Cypher,10.9,13.6,4.4,0.491,0.024,162,0.001,5474
14,Chamber,11.9,13.9,3.3,0.488,0.02,175,0.001,4523
15,Omen,11.4,14.4,4.5,0.482,0.0559999999999999,168,0.001,12646
16,Sova,10.8,14.1,4.6,0.481,0.037,164,0.001,8465
17,Phoenix,12.1,14.1,4.1,0.479,0.048,183,0.001,10944
18,KAY/O,10.5,14.4,7.1,0.479,0.024,163,0.001,5504
19,Neon,11.7,14.6,3.8,0.476,0.044,178,0.002,10067
20,Harbor,10.3,14.2,4.7,0.475,0.008,156,0.001,1836
21,Yoru,11.7,14.3,4.0,0.4679999999999999,0.05,174,0.001,11318
22,Astra,11.5,13.4,4.2,0.462,0.005,173,0.001,1071
1,Killjoy,11.8,13.8,4.1,0.511,0.044,177,0.001,39796
2,Brimstone,12.4,14.2,6.2,0.507,0.048,186,0.001,43014
3,Breach,12.6,14.7,5.6,0.506,0.025,186,0.001,22591
4,Sage,10.9,14.2,6.2,0.506,0.12,162,0.001,108909
5,Skye,11.4,14.4,7.0,0.499,0.047,170,0.001,42387
6,Reyna,15.0,14.6,4.6,0.499,0.106,219,0.002,96206
7,Gekko,11.5,14.5,4.6,0.498,0.049,169,0.001,44638
8,Raze,13.4,14.8,4.8,0.494,0.073,205,0.001,65821
9,Deadlock,12.5,14.5,4.0,0.493,0.055,181,0.001,50167
10,Fade,11.4,14.6,6.1,0.492,0.035,170,0.001,31943
11,Viper,11.8,14.3,4.9,0.489,0.032,176,0.001,28885
12,Phoenix,13.4,14.5,4.4,0.487,0.044,199,0.001,39988
13,Astra,12.5,14.0,4.8,0.487,0.005,183,0.001,4970
14,Jett,13.8,14.8,3.9,0.486,0.055,204,0.002,50165
15,Neon,13.2,15.1,4.2,0.486,0.04,196,0.002,35887
16,Chamber,13.1,14.3,3.5,0.483,0.021,190,0.002,19379
17,Omen,12.5,14.7,4.9,0.483,0.062,182,0.001,56130
18,Cypher,12.0,14.0,4.7,0.482,0.027,175,0.001,24478
19,Sova,11.6,14.5,4.9,0.478,0.034,174,0.001,30674
20,Harbor,11.8,14.7,5.2,0.477,0.009,173,0.001,8375
21,Yoru,12.7,14.7,4.2,0.473,0.042,185,0.001,37903
22,KAY/O,11.5,14.8,7.6,0.4679999999999999,0.025,175,0.001,22739
1,Killjoy,12.6,13.9,4.1,0.509,0.05,186,0.001,138785
2,Brimstone,13.1,14.4,6.8,0.507,0.057,193,0.001,156910
3,Reyna,15.9,14.8,4.7,0.502,0.109,231,0.002,300625
4,Sage,11.6,14.3,6.6,0.499,0.115,170,0.001,317887
5,Breach,13.1,14.9,5.8,0.498,0.033,191,0.001,91543
6,Deadlock,13.2,14.6,4.0,0.496,0.05,198,0.001,137171
7,Raze,14.3,15.0,4.9,0.496,0.068,216,0.001,188895
8,Skye,12.1,14.5,7.2,0.493,0.052,178,0.001,143788
9,Gekko,12.3,14.7,4.7,0.488,0.046,177,0.001,127674
10,Viper,12.5,14.4,5.1,0.488,0.032,184,0.001,89612
11,Cypher,12.8,14.1,4.9,0.488,0.03,184,0.001,83120
12,Jett,14.9,15.1,4.1,0.488,0.0559999999999999,216,0.002,154841
13,Fade,12.1,14.7,6.2,0.487,0.033,179,0.001,90699
14,Chamber,14.1,14.5,3.5,0.486,0.024,200,0.002,65771
15,Phoenix,14.4,14.7,4.5,0.486,0.04,211,0.001,109596
16,Neon,14.2,15.4,4.3,0.484,0.036,208,0.002,99806
17,Astra,13.2,14.2,5.0,0.48,0.0069999999999999,189,0.001,18271
18,Omen,13.1,14.7,5.3,0.48,0.065,189,0.001,180366
19,Sova,12.4,14.6,5.1,0.475,0.031,183,0.001,84885
20,Harbor,12.3,14.8,5.4,0.475,0.01,179,0.001,28041
21,KAY/O,12.3,15.0,7.9,0.471,0.025,184,0.001,70563
22,Yoru,13.4,15.0,4.3,0.465,0.033,195,0.001,90822
