Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,12.6,13.9,4.1,0.509,0.05,186,0.001,138785
2,Brimstone,13.1,14.4,6.8,0.507,0.057,193,0.001,156910
3,Reyna,15.9,14.8,4.7,0.502,0.109,231,0.002,300625
4,Sage,11.6,14.3,6.6,0.499,0.115,170,0.001,317887
5,Breach,13.1,14.9,5.8,0.498,0.033,191,0.001,91543
6,Deadlock,13.2,14.6,4.0,0.496,0.05,198,0.001,137171
7,Raze,14.3,15.0,4.9,0.496,0.068,216,0.001,188895
8,Skye,12.1,14.5,7.2,0.493,0.052000000000000005,178,0.001,143788
9,Gekko,12.3,14.7,4.7,0.488,0.046,177,0.001,127674
10,Viper,12.5,14.4,5.1,0.488,0.032,184,0.001,89612
11,Cypher,12.8,14.1,4.9,0.488,0.03,184,0.001,83120
12,Jett,14.9,15.1,4.1,0.488,0.055999999999999994,216,0.002,154841
13,Fade,12.1,14.7,6.2,0.48700000000000004,0.033,179,0.001,90699
14,Chamber,14.1,14.5,3.5,0.486,0.024,200,0.002,65771
15,Phoenix,14.4,14.7,4.5,0.486,0.04,211,0.001,109596
16,Neon,14.2,15.4,4.3,0.484,0.036000000000000004,208,0.002,99806
17,Astra,13.2,14.2,5.0,0.48,0.006999999999999999,189,0.001,18271
18,Omen,13.1,14.7,5.3,0.48,0.065,189,0.001,180366
19,Sova,12.4,14.6,5.1,0.475,0.031,183,0.001,84885
20,Harbor,12.3,14.8,5.4,0.475,0.01,179,0.001,28041
21,KAY/O,12.3,15.0,7.9,0.47100000000000003,0.025,184,0.001,70563
22,Yoru,13.4,15.0,4.3,0.465,0.033,195,0.001,90822
