Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.0,13.8,3.8,0.512,0.038,166,0.001,8720
2,Astra,11.7,13.3,4.4,0.506,0.005,171,0.001,1141
3,Sage,10.2,14.1,5.5,0.505,0.123,151,0.001,28148
4,Skye,10.8,14.3,6.2,0.503,0.039,161,0.001,8886
5,Reyna,13.7,14.5,4.1,0.501,0.104,202,0.002,23827
6,Chamber,12.2,13.9,3.2,0.498,0.021,178,0.002,4860
7,Cypher,11.2,13.8,4.5,0.494,0.025,164,0.001,5607
8,Sova,10.9,14.2,4.4,0.492,0.042,164,0.001,9484
9,Brimstone,11.4,14.2,5.3,0.49,0.035,172,0.001,8037
10,Omen,11.9,14.5,4.5,0.49,0.066,173,0.001,14978
11,Fade,10.4,14.5,5.6,0.49,0.037,157,0.001,8425
12,Harbor,10.7,14.5,4.7,0.49,0.008,160,0.001,1895
13,Jett,12.7,14.5,3.5,0.487,0.064,188,0.002,14625
14,Deadlock,11.6,14.4,3.7,0.487,0.0579999999999999,171,0.001,13247
15,Yoru,12.0,14.6,3.8,0.486,0.05,174,0.001,11401
16,Raze,12.4,14.6,4.3,0.486,0.076,191,0.001,17289
17,Gekko,10.8,14.5,4.3,0.485,0.05,158,0.001,11354
18,Viper,10.9,14.4,4.4,0.484,0.03,162,0.001,6861
19,Phoenix,12.3,14.3,3.9,0.484,0.049,182,0.001,11097
20,Neon,12.0,14.9,3.7,0.478,0.042,178,0.002,9632
21,KAY/O,10.8,14.8,7.0,0.467,0.025,164,0.001,5716
22,Breach,11.7,14.3,4.7,0.456,0.0139999999999999,174,0.001,3293
1,Killjoy,12.0,13.9,3.9,0.51,0.043,177,0.001,39621
2,Brimstone,12.5,14.4,6.2,0.504,0.039,185,0.001,35609
3,Cypher,12.3,14.0,4.7,0.504,0.027,177,0.001,24392
4,Skye,11.7,14.6,6.7,0.502,0.046,172,0.001,42183
5,Sage,11.2,14.4,6.0,0.501,0.122,164,0.001,111438
6,Deadlock,12.5,14.6,3.9,0.499,0.054,186,0.001,48924
7,Breach,12.7,14.8,5.4,0.498,0.017,186,0.001,15549
8,Gekko,11.7,14.7,4.5,0.498,0.048,170,0.001,44292
9,Raze,13.6,14.9,4.6,0.496,0.072,205,0.001,65813
10,Reyna,14.8,14.8,4.4,0.493,0.106,216,0.002,97168
11,Omen,12.8,14.7,5.0,0.491,0.076,185,0.001,69009
12,Viper,12.0,14.4,4.8,0.49,0.0279999999999999,177,0.001,25527
13,Fade,11.5,14.8,5.9,0.489,0.034,170,0.001,31303
14,Sova,11.9,14.5,4.8,0.489,0.0409999999999999,176,0.001,37589
15,Jett,13.9,14.9,3.8,0.488,0.061,203,0.002,55681
16,Harbor,11.8,14.8,5.1,0.487,0.008,172,0.001,7590
17,Astra,12.7,14.1,4.7,0.486,0.006,182,0.001,5648
18,Phoenix,13.5,14.7,4.2,0.484,0.044,198,0.001,40457
19,Chamber,13.3,14.4,3.4,0.483,0.023,190,0.002,21280
20,KAY/O,11.8,14.9,7.5,0.48,0.025,176,0.001,22424
21,Neon,13.3,15.3,3.9,0.48,0.036,195,0.002,33245
22,Yoru,12.9,14.9,4.0,0.47,0.043,187,0.001,38982
1,Killjoy,12.6,14.0,3.9,0.508,0.049,184,0.001,138427
2,Sage,11.9,14.5,6.4,0.499,0.118,173,0.001,331464
3,Brimstone,13.1,14.6,6.7,0.499,0.044,192,0.001,124027
4,Reyna,15.8,15.0,4.5,0.498,0.108,228,0.002,303280
5,Deadlock,13.1,14.7,3.9,0.495,0.048,194,0.001,134176
6,Gekko,12.4,14.9,4.7,0.495,0.045,178,0.001,126891
7,Raze,14.4,15.2,4.8,0.495,0.067,215,0.001,187250
8,Breach,13.3,15.1,5.7,0.494,0.02,193,0.001,56096
9,Omen,13.5,14.8,5.5,0.492,0.085,193,0.001,238181
10,Jett,14.9,15.2,3.9,0.491,0.063,216,0.002,175227
11,Fade,12.3,14.9,6.1,0.49,0.031,180,0.001,86383
12,Skye,12.3,14.7,7.1,0.49,0.052,180,0.001,144344
13,Cypher,13.0,14.2,4.8,0.489,0.0289999999999999,185,0.001,82128
14,Sova,12.7,14.5,5.0,0.489,0.0409999999999999,185,0.001,114789
15,Phoenix,14.5,14.9,4.4,0.488,0.04,211,0.001,112420
16,Viper,12.8,14.5,5.1,0.485,0.026,186,0.001,73440
17,Chamber,14.0,14.4,3.4,0.484,0.026,198,0.002,71656
18,Astra,13.3,14.3,5.2,0.482,0.008,189,0.001,21458
19,Neon,14.2,15.6,4.1,0.481,0.032,206,0.002,88539
20,KAY/O,12.4,15.1,7.8,0.471,0.026,184,0.001,71408
21,Yoru,13.6,15.1,4.2,0.466,0.033,196,0.001,92984
22,Harbor,12.4,14.9,5.4,0.466,0.008,179,0.001,23630
