Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,12.0,13.9,3.9,0.51,0.043,177,0.001,39621
2,Brimstone,12.5,14.4,6.2,0.504,0.039,185,0.001,35609
3,Cypher,12.3,14.0,4.7,0.504,0.027000000000000003,177,0.001,24392
4,Skye,11.7,14.6,6.7,0.502,0.046,172,0.001,42183
5,Sage,11.2,14.4,6.0,0.501,0.122,164,0.001,111438
6,Deadlock,12.5,14.6,3.9,0.499,0.054000000000000006,186,0.001,48924
7,Breach,12.7,14.8,5.4,0.498,0.017,186,0.001,15549
8,Gekko,11.7,14.7,4.5,0.498,0.048,170,0.001,44292
9,Raze,13.6,14.9,4.6,0.496,0.07200000000000001,205,0.001,65813
10,Reyna,14.8,14.8,4.4,0.493,0.106,216,0.002,97168
11,Omen,12.8,14.7,5.0,0.491,0.076,185,0.001,69009
12,Viper,12.0,14.4,4.8,0.49,0.027999999999999997,177,0.001,25527
13,Fade,11.5,14.8,5.9,0.489,0.034,170,0.001,31303
14,Sova,11.9,14.5,4.8,0.489,0.040999999999999995,176,0.001,37589
15,Jett,13.9,14.9,3.8,0.488,0.061,203,0.002,55681
16,Harbor,11.8,14.8,5.1,0.48700000000000004,0.008,172,0.001,7590
17,Astra,12.7,14.1,4.7,0.486,0.006,182,0.001,5648
18,Phoenix,13.5,14.7,4.2,0.484,0.044000000000000004,198,0.001,40457
19,Chamber,13.3,14.4,3.4,0.483,0.023,190,0.002,21280
20,KAY/O,11.8,14.9,7.5,0.48,0.025,176,0.001,22424
21,Neon,13.3,15.3,3.9,0.48,0.036000000000000004,195,0.002,33245
22,Yoru,12.9,14.9,4.0,0.47,0.043,187,0.001,38982
