Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.1,13.7,4.0,0.518,0.037,168,0.001,8384
2,Cypher,11.2,13.8,4.6,0.503,0.023,166,0.001,5212
3,Sage,10.0,14.1,5.8,0.503,0.122,149,0.001,27955
4,Breach,11.8,14.1,5.3,0.503,0.016,178,0.001,3557
5,Skye,10.8,14.3,6.9,0.503,0.0409999999999999,162,0.001,9442
6,Reyna,13.8,14.5,4.5,0.499,0.106,204,0.002,24172
7,Brimstone,11.3,14.1,5.8,0.498,0.035,172,0.001,8014
8,Raze,12.8,14.5,4.9,0.497,0.078,199,0.002,17778
9,Chamber,12.4,14.1,3.4,0.494,0.021,181,0.002,4873
10,Gekko,11.0,14.5,4.6,0.492,0.051,161,0.001,11719
11,Omen,11.9,14.5,4.7,0.488,0.063,174,0.001,14335
12,Fade,10.6,14.5,5.9,0.488,0.038,160,0.001,8691
13,Jett,12.6,14.4,3.7,0.487,0.06,188,0.002,13650
14,Astra,11.7,13.5,4.4,0.487,0.006,176,0.001,1271
15,Deadlock,11.5,14.4,3.8,0.485,0.0579999999999999,168,0.001,13280
16,Phoenix,12.3,14.3,4.2,0.483,0.048,183,0.001,11021
17,Sova,10.9,14.4,4.9,0.481,0.037,163,0.001,8391
18,Yoru,11.9,14.6,4.1,0.48,0.052,175,0.001,11874
19,Neon,12.1,14.9,3.9,0.476,0.043,181,0.002,9747
20,Viper,11.0,14.4,4.7,0.474,0.032,166,0.001,7357
21,Harbor,10.8,14.6,4.9,0.469,0.01,162,0.001,2266
22,KAY/O,10.5,14.7,7.7,0.469,0.024,163,0.001,5567
1,Killjoy,12.0,13.9,4.0,0.51,0.042,178,0.001,38175
2,Breach,12.7,14.8,5.8,0.508,0.019,186,0.001,17000
3,Raze,13.8,14.9,5.2,0.505,0.076,212,0.002,69563
4,Skye,11.7,14.5,7.3,0.505,0.05,173,0.001,45784
5,Astra,12.7,14.1,4.9,0.502,0.006,184,0.001,5894
6,Sage,11.1,14.3,6.3,0.502,0.12,163,0.001,109046
7,Reyna,15.0,14.8,4.7,0.502,0.106,219,0.002,96268
8,Brimstone,12.5,14.5,6.4,0.501,0.036,185,0.001,33051
9,Gekko,11.8,14.7,4.7,0.497,0.053,170,0.001,47871
10,Deadlock,12.6,14.6,4.0,0.497,0.054,191,0.001,49347
11,Cypher,12.4,14.1,4.8,0.496,0.024,177,0.001,22041
12,Omen,12.8,14.7,5.2,0.495,0.07,186,0.001,63935
13,Viper,12.2,14.5,5.1,0.488,0.031,180,0.001,28268
14,Jett,13.9,15.0,4.0,0.488,0.0559999999999999,204,0.002,51306
15,Fade,11.5,14.7,6.2,0.487,0.035,170,0.001,32211
16,Chamber,13.4,14.5,3.5,0.486,0.024,192,0.002,22316
17,Phoenix,13.5,14.7,4.5,0.484,0.043,200,0.001,39635
18,Neon,13.3,15.3,4.1,0.482,0.038,195,0.002,34839
19,Sova,11.9,14.5,5.1,0.481,0.035,177,0.001,32174
20,KAY/O,11.7,14.9,8.0,0.476,0.026,176,0.001,23665
21,Harbor,11.8,14.9,5.4,0.471,0.012,173,0.001,10549
22,Yoru,12.9,15.0,4.3,0.466,0.042,187,0.001,38624
1,Killjoy,12.7,14.0,4.0,0.503,0.047,185,0.001,130823
2,Raze,14.6,15.2,5.3,0.503,0.074,222,0.002,205109
3,Breach,13.3,15.1,6.0,0.501,0.023,192,0.001,63945
4,Brimstone,13.1,14.6,6.9,0.501,0.0409999999999999,194,0.001,114308
5,Sage,11.8,14.5,6.6,0.499,0.113,172,0.001,314609
6,Reyna,15.9,14.9,4.7,0.498,0.108,230,0.002,300264
7,Skye,12.3,14.6,7.6,0.495,0.057,180,0.001,157102
8,Astra,13.5,14.3,5.2,0.494,0.008,193,0.001,23052
9,Gekko,12.4,14.8,4.8,0.493,0.051,178,0.001,141137
10,Deadlock,13.2,14.7,4.0,0.492,0.049,194,0.001,135647
11,Phoenix,14.5,14.8,4.6,0.49,0.039,211,0.001,109371
12,Omen,13.5,14.8,5.6,0.49,0.078,193,0.001,216777
13,Chamber,14.2,14.5,3.5,0.489,0.027,201,0.002,75851
14,Jett,14.9,15.2,4.0,0.488,0.057,216,0.002,158738
15,Cypher,13.0,14.2,4.8,0.487,0.026,184,0.001,72636
16,Viper,12.8,14.5,5.3,0.485,0.03,188,0.001,82573
17,Fade,12.2,14.8,6.2,0.484,0.033,178,0.001,90836
18,Sova,12.7,14.7,5.3,0.481,0.032,186,0.001,89575
19,Neon,14.2,15.5,4.3,0.48,0.034,207,0.002,94243
20,Yoru,13.5,15.1,4.3,0.466,0.033,195,0.001,92240
21,Harbor,12.4,15.0,5.5,0.465,0.013,179,0.001,35895
22,KAY/O,12.3,15.1,8.2,0.4629999999999999,0.026,184,0.001,72881
