Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,12.7,14.0,4.0,0.503,0.047,185,0.001,130823
2,Raze,14.6,15.2,5.3,0.503,0.07400000000000001,222,0.002,205109
3,Breach,13.3,15.1,6.0,0.501,0.023,192,0.001,63945
4,Brimstone,13.1,14.6,6.9,0.501,0.040999999999999995,194,0.001,114308
5,Sage,11.8,14.5,6.6,0.499,0.113,172,0.001,314609
6,Reyna,15.9,14.9,4.7,0.498,0.10800000000000001,230,0.002,300264
7,Skye,12.3,14.6,7.6,0.495,0.057,180,0.001,157102
8,Astra,13.5,14.3,5.2,0.494,0.008,193,0.001,23052
9,Gekko,12.4,14.8,4.8,0.493,0.051,178,0.001,141137
10,Deadlock,13.2,14.7,4.0,0.49200000000000005,0.049,194,0.001,135647
11,Phoenix,14.5,14.8,4.6,0.49,0.039,211,0.001,109371
12,Omen,13.5,14.8,5.6,0.49,0.078,193,0.001,216777
13,Chamber,14.2,14.5,3.5,0.489,0.027000000000000003,201,0.002,75851
14,Jett,14.9,15.2,4.0,0.488,0.057,216,0.002,158738
15,Cypher,13.0,14.2,4.8,0.48700000000000004,0.026000000000000002,184,0.001,72636
16,Viper,12.8,14.5,5.3,0.485,0.03,188,0.001,82573
17,Fade,12.2,14.8,6.2,0.484,0.033,178,0.001,90836
18,Sova,12.7,14.7,5.3,0.48100000000000004,0.032,186,0.001,89575
19,Neon,14.2,15.5,4.3,0.48,0.034,207,0.002,94243
20,Yoru,13.5,15.1,4.3,0.466,0.033,195,0.001,92240
21,Harbor,12.4,15.0,5.5,0.465,0.013000000000000001,179,0.001,35895
22,KAY/O,12.3,15.1,8.2,0.46299999999999997,0.026000000000000002,184,0.001,72881
