Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.0,13.5,4.1,0.518,0.038,167,0.001,8676
2,Cypher,10.9,13.6,4.6,0.512,0.025,160,0.001,5564
3,Astra,11.8,13.1,4.4,0.51,0.006,176,0.001,1418
4,Sage,9.9,14.0,5.9,0.507,0.121,148,0.001,27493
5,Gekko,10.8,14.4,4.5,0.502,0.051,158,0.001,11520
6,Viper,10.8,14.0,4.8,0.501,0.036,163,0.001,8208
7,Skye,10.6,14.1,6.7,0.501,0.039,160,0.001,8857
8,Brimstone,11.2,13.9,5.6,0.499,0.034,172,0.001,7601
9,Raze,12.4,14.4,4.6,0.499,0.073,191,0.001,16634
10,Breach,11.9,14.2,5.1,0.499,0.013,177,0.001,3029
11,Chamber,12.1,13.8,3.4,0.498,0.024,177,0.001,5386
12,Reyna,13.7,14.3,4.4,0.498,0.104,203,0.002,23584
13,Harbor,10.5,14.3,5.0,0.495,0.012,159,0.001,2654
14,KAY/O,10.6,14.5,7.0,0.495,0.025,164,0.001,5595
15,Deadlock,11.5,14.2,3.8,0.494,0.059,172,0.001,13452
16,Sova,10.7,14.2,4.7,0.489,0.038,162,0.001,8668
17,Fade,10.3,14.4,5.9,0.487,0.04,157,0.001,9122
18,Yoru,12.0,14.4,4.0,0.484,0.052,177,0.001,11798
19,Omen,11.6,14.4,4.6,0.484,0.057,171,0.001,12874
20,Phoenix,12.2,14.2,4.1,0.482,0.048,182,0.001,10847
21,Jett,12.6,14.5,3.7,0.477,0.061,187,0.002,13887
22,Neon,11.8,14.7,3.9,0.474,0.043,178,0.002,9691
1,Killjoy,11.9,13.7,4.2,0.513,0.042,178,0.001,38430
2,Sage,10.9,14.3,6.3,0.505,0.122,160,0.001,110619
3,Brimstone,12.4,14.4,6.4,0.501,0.036,185,0.001,32990
4,Cypher,12.2,13.9,4.9,0.501,0.0279999999999999,176,0.001,25622
5,Skye,11.5,14.4,7.2,0.501,0.046,171,0.001,41950
6,Viper,12.0,14.3,5.2,0.5,0.037,178,0.001,33682
7,Astra,12.7,13.9,5.2,0.499,0.008,184,0.001,7139
8,Gekko,11.6,14.5,4.8,0.498,0.051,169,0.001,45779
9,Reyna,14.9,14.7,4.6,0.497,0.106,217,0.002,96187
10,Deadlock,12.5,14.5,4.0,0.497,0.054,188,0.001,48991
11,Raze,13.5,14.8,4.9,0.496,0.068,206,0.001,61866
12,Chamber,13.3,14.2,3.5,0.495,0.026,190,0.001,23774
13,Fade,11.5,14.7,6.1,0.493,0.038,170,0.001,34142
14,Jett,13.8,14.9,4.0,0.49,0.0579999999999999,202,0.002,52580
15,Omen,12.6,14.7,5.1,0.486,0.063,183,0.001,57156
16,Harbor,11.6,14.7,5.4,0.486,0.0139999999999999,170,0.001,12688
17,Neon,13.2,15.1,4.1,0.484,0.038,196,0.002,34002
18,Sova,11.8,14.4,5.1,0.481,0.036,175,0.001,32564
19,Phoenix,13.4,14.6,4.4,0.481,0.044,198,0.002,39479
20,Breach,12.5,14.8,5.6,0.478,0.015,184,0.001,13386
21,KAY/O,11.6,14.8,7.5,0.473,0.026,175,0.001,23195
22,Yoru,12.9,14.8,4.2,0.4679999999999999,0.044,188,0.001,39868
1,Killjoy,12.6,13.8,4.2,0.513,0.047,185,0.001,130031
2,Astra,13.4,14.0,5.5,0.504,0.011,191,0.001,30116
3,Gekko,12.3,14.6,4.9,0.501,0.049,178,0.001,137081
4,Reyna,15.9,14.9,4.8,0.499,0.109,229,0.002,302495
5,Sage,11.6,14.4,6.7,0.498,0.1159999999999999,169,0.001,322448
6,Raze,14.3,15.1,5.0,0.498,0.063,216,0.002,175160
7,Brimstone,13.0,14.5,6.8,0.498,0.0409999999999999,192,0.001,113235
8,Deadlock,13.1,14.7,4.1,0.495,0.048,195,0.001,134508
9,Viper,12.8,14.4,5.5,0.494,0.04,188,0.001,111393
10,Cypher,12.8,14.0,4.9,0.493,0.031,183,0.001,85665
11,Jett,14.8,15.1,4.0,0.489,0.06,215,0.002,165615
12,Skye,12.2,14.6,7.5,0.489,0.052,179,0.001,143999
13,Fade,12.3,14.7,6.3,0.489,0.037,180,0.001,101930
14,Breach,13.1,15.0,5.8,0.489,0.017,192,0.001,46535
15,Omen,13.3,14.8,5.5,0.488,0.066,191,0.001,182627
16,Phoenix,14.4,14.8,4.6,0.487,0.04,211,0.002,110826
17,Chamber,14.1,14.3,3.5,0.484,0.03,199,0.001,82809
18,Neon,14.2,15.5,4.3,0.483,0.033,207,0.002,90644
19,Sova,12.5,14.5,5.2,0.482,0.034,184,0.001,93586
20,Harbor,12.2,14.8,5.6,0.48,0.017,176,0.001,46755
21,Yoru,13.7,15.0,4.3,0.467,0.035,197,0.001,96183
22,KAY/O,12.3,15.1,7.7,0.4639999999999999,0.026,183,0.001,73102
