Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.0,13.5,4.1,0.518,0.038,167,0.001,8676
2,Cypher,10.9,13.6,4.6,0.512,0.025,160,0.001,5564
3,Astra,11.8,13.1,4.4,0.51,0.006,176,0.001,1418
4,Sage,9.9,14.0,5.9,0.507,0.121,148,0.001,27493
5,Gekko,10.8,14.4,4.5,0.502,0.051,158,0.001,11520
6,Viper,10.8,14.0,4.8,0.501,0.036000000000000004,163,0.001,8208
7,Skye,10.6,14.1,6.7,0.501,0.039,160,0.001,8857
8,Brimstone,11.2,13.9,5.6,0.499,0.034,172,0.001,7601
9,Raze,12.4,14.4,4.6,0.499,0.073,191,0.001,16634
10,Breach,11.9,14.2,5.1,0.499,0.013000000000000001,177,0.001,3029
11,Chamber,12.1,13.8,3.4,0.498,0.024,177,0.001,5386
12,Reyna,13.7,14.3,4.4,0.498,0.10400000000000001,203,0.002,23584
13,Harbor,10.5,14.3,5.0,0.495,0.012,159,0.001,2654
14,KAY/O,10.6,14.5,7.0,0.495,0.025,164,0.001,5595
15,Deadlock,11.5,14.2,3.8,0.494,0.059000000000000004,172,0.001,13452
16,Sova,10.7,14.2,4.7,0.489,0.038,162,0.001,8668
17,Fade,10.3,14.4,5.9,0.48700000000000004,0.04,157,0.001,9122
18,Yoru,12.0,14.4,4.0,0.484,0.052000000000000005,177,0.001,11798
19,Omen,11.6,14.4,4.6,0.484,0.057,171,0.001,12874
20,Phoenix,12.2,14.2,4.1,0.48200000000000004,0.048,182,0.001,10847
21,Jett,12.6,14.5,3.7,0.47700000000000004,0.061,187,0.002,13887
22,Neon,11.8,14.7,3.9,0.474,0.043,178,0.002,9691
