Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,11.1,13.7,3.9,0.525,0.037,167,0.001,8442
2,Raze,12.8,14.5,4.7,0.51,0.08,198,0.001,18407
3,Sage,10.1,14.0,5.9,0.509,0.126,150,0.001,28835
4,Cypher,11.3,13.8,4.5,0.503,0.026,165,0.001,5947
5,Skye,10.8,14.2,6.7,0.499,0.04,163,0.001,9207
6,Omen,12.0,14.4,4.5,0.497,0.063,176,0.001,14515
7,Gekko,10.7,14.5,4.2,0.496,0.049,158,0.001,11252
8,Breach,11.8,14.4,4.9,0.496,0.0139999999999999,176,0.001,3240
9,Reyna,13.7,14.5,4.2,0.496,0.104,203,0.002,23849
10,Sova,10.9,14.1,4.5,0.491,0.037,164,0.001,8536
11,Astra,11.4,13.1,4.2,0.49,0.006,170,0.001,1306
12,Viper,10.8,14.3,4.5,0.488,0.034,162,0.001,7689
13,Brimstone,11.4,14.2,5.6,0.487,0.035,173,0.001,8089
14,Phoenix,12.3,14.3,4.0,0.485,0.048,184,0.001,10995
15,KAY/O,10.8,14.6,7.0,0.483,0.024,165,0.001,5575
16,Deadlock,11.6,14.3,3.7,0.483,0.059,178,0.001,13564
17,Jett,12.6,14.6,3.6,0.482,0.061,187,0.002,13908
18,Fade,10.4,14.6,5.6,0.482,0.037,157,0.001,8560
19,Harbor,11.0,14.6,4.7,0.481,0.008,162,0.001,1921
20,Neon,11.7,14.9,3.7,0.476,0.042,176,0.002,9707
21,Yoru,12.0,14.5,3.8,0.469,0.05,176,0.001,11395
22,Chamber,11.9,14.2,3.2,0.465,0.019,174,0.001,4362
1,Killjoy,12.1,13.9,4.0,0.516,0.0409999999999999,179,0.001,37674
2,Sage,11.1,14.3,6.5,0.506,0.125,163,0.001,114079
3,Brimstone,12.6,14.5,6.4,0.501,0.039,187,0.001,35166
4,Cypher,12.4,14.0,4.9,0.499,0.03,179,0.001,27034
5,Raze,13.8,15.0,5.0,0.499,0.077,211,0.001,70519
6,Skye,11.6,14.5,7.3,0.497,0.048,172,0.001,44218
7,Reyna,14.8,14.8,4.5,0.497,0.106,216,0.002,96677
8,Gekko,11.7,14.7,4.5,0.494,0.049,170,0.001,44803
9,Deadlock,12.6,14.6,3.9,0.493,0.055,188,0.001,49866
10,Omen,13.0,14.7,5.0,0.491,0.072,188,0.001,65673
11,Jett,13.8,15.0,3.9,0.488,0.0559999999999999,201,0.002,51110
12,Fade,11.6,14.7,5.8,0.487,0.035,171,0.001,32015
13,Breach,12.7,15.0,5.4,0.486,0.016,186,0.001,14767
14,Viper,12.1,14.4,4.8,0.485,0.032,178,0.001,29509
15,Chamber,13.1,14.4,3.5,0.484,0.02,189,0.002,18257
16,Neon,13.1,15.3,4.1,0.482,0.037,193,0.002,33567
17,Sova,12.0,14.6,4.9,0.481,0.035,177,0.001,31520
18,Phoenix,13.5,14.7,4.4,0.481,0.044,199,0.001,40161
19,Astra,12.5,14.1,4.8,0.478,0.0069999999999999,181,0.001,6578
20,KAY/O,11.8,14.9,7.4,0.471,0.025,177,0.001,23104
21,Yoru,12.9,14.9,4.1,0.469,0.042,188,0.001,38174
22,Harbor,11.6,14.8,5.0,0.469,0.008,170,0.001,7627
1,Killjoy,12.9,14.1,4.1,0.51,0.047,188,0.001,131066
2,Raze,14.6,15.2,5.1,0.502,0.074,220,0.002,206480
3,Sage,11.9,14.4,6.8,0.501,0.123,172,0.001,343562
4,Cypher,13.1,14.2,5.0,0.498,0.034,187,0.001,96314
5,Brimstone,13.2,14.7,6.9,0.498,0.043,194,0.001,119707
6,Reyna,15.8,15.1,4.6,0.497,0.108,228,0.002,301687
7,Skye,12.3,14.7,7.6,0.495,0.055,181,0.001,152944
8,Omen,13.7,14.8,5.5,0.494,0.079,196,0.001,220093
9,Deadlock,13.3,14.7,4.1,0.492,0.049,195,0.001,136846
10,Astra,13.4,14.3,5.3,0.492,0.009,191,0.001,25103
11,Gekko,12.4,14.8,4.6,0.492,0.046,178,0.001,128378
12,Viper,12.8,14.5,5.1,0.489,0.032,187,0.001,90381
13,Fade,12.3,14.9,5.9,0.489,0.032,179,0.001,90647
14,Breach,13.3,15.1,5.7,0.488,0.019,193,0.001,53619
15,Jett,14.8,15.3,4.0,0.487,0.057,215,0.002,158413
16,Phoenix,14.4,14.9,4.6,0.486,0.04,211,0.002,111083
17,Sova,12.7,14.6,5.1,0.483,0.032,186,0.001,89612
18,Chamber,14.1,14.7,3.5,0.478,0.022,199,0.002,60555
19,Neon,14.0,15.6,4.2,0.477,0.032,204,0.002,88355
20,KAY/O,12.3,15.1,7.7,0.472,0.026,184,0.001,72883
21,Yoru,13.7,15.1,4.3,0.466,0.033,197,0.001,91940
22,Harbor,12.3,15.0,5.2,0.461,0.009,179,0.001,24825
