Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,12.1,13.9,4.0,0.516,0.040999999999999995,179,0.001,37674
2,Sage,11.1,14.3,6.5,0.506,0.125,163,0.001,114079
3,Brimstone,12.6,14.5,6.4,0.501,0.039,187,0.001,35166
4,Cypher,12.4,14.0,4.9,0.499,0.03,179,0.001,27034
5,Raze,13.8,15.0,5.0,0.499,0.077,211,0.001,70519
6,Skye,11.6,14.5,7.3,0.49700000000000005,0.048,172,0.001,44218
7,Reyna,14.8,14.8,4.5,0.49700000000000005,0.106,216,0.002,96677
8,Gekko,11.7,14.7,4.5,0.494,0.049,170,0.001,44803
9,Deadlock,12.6,14.6,3.9,0.493,0.055,188,0.001,49866
10,Omen,13.0,14.7,5.0,0.491,0.07200000000000001,188,0.001,65673
11,Jett,13.8,15.0,3.9,0.488,0.055999999999999994,201,0.002,51110
12,Fade,11.6,14.7,5.8,0.48700000000000004,0.035,171,0.001,32015
13,Breach,12.7,15.0,5.4,0.486,0.016,186,0.001,14767
14,Viper,12.1,14.4,4.8,0.485,0.032,178,0.001,29509
15,Chamber,13.1,14.4,3.5,0.484,0.02,189,0.002,18257
16,Neon,13.1,15.3,4.1,0.48200000000000004,0.037000000000000005,193,0.002,33567
17,Sova,12.0,14.6,4.9,0.48100000000000004,0.035,177,0.001,31520
18,Phoenix,13.5,14.7,4.4,0.48100000000000004,0.044000000000000004,199,0.001,40161
19,Astra,12.5,14.1,4.8,0.478,0.006999999999999999,181,0.001,6578
20,KAY/O,11.8,14.9,7.4,0.47100000000000003,0.025,177,0.001,23104
21,Yoru,12.9,14.9,4.1,0.469,0.042,188,0.001,38174
22,Harbor,11.6,14.8,5.0,0.469,0.008,170,0.001,7627
