Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.9,9.7,0.52,0.053,204,0.001,113799
2,Phoenix,17.1,15.6,4.8,0.509,0.033,239,0.002,72208
3,Sova,14.8,14.5,6.0,0.504,0.09,206,0.001,194270
4,Sage,13.7,14.9,7.0,0.502,0.053,190,0.001,113986
5,Reyna,17.5,15.8,4.5,0.499,0.106,241,0.002,229298
6,Raze,16.4,16.0,5.0,0.497,0.051,236,0.002,110173
7,Cypher,14.6,14.5,4.9,0.495,0.026,197,0.001,57303
8,Killjoy,14.3,14.4,3.7,0.494,0.091,197,0.001,196429
9,Jett,17.4,16.0,3.7,0.492,0.135,238,0.002,292536
10,Deadlock,14.8,15.0,3.8,0.492,0.045,218,0.001,98376
11,Astra,15.2,14.8,7.5,0.491,0.018,207,0.001,39432
12,Skye,14.2,15.1,7.8,0.491,0.0409999999999999,196,0.001,88438
13,Chamber,16.3,15.1,2.9,0.49,0.031,219,0.002,67300
14,Omen,14.8,15.1,8.4,0.486,0.113,203,0.001,245371
15,Fade,14.3,15.0,6.5,0.484,0.018,197,0.001,39771
16,Viper,14.4,14.8,5.8,0.475,0.008,200,0.001,18022
17,Breach,14.3,15.5,6.9,0.475,0.015,199,0.001,33142
18,Gekko,13.9,15.2,4.8,0.472,0.0139999999999999,189,0.001,30476
19,Neon,15.8,16.5,4.2,0.4629999999999999,0.008,220,0.002,17099
20,Yoru,15.8,15.7,4.3,0.461,0.01,218,0.002,22201
21,KAY/O,14.2,15.5,8.9,0.461,0.037,201,0.001,79480
22,Harbor,13.8,15.3,6.1,0.442,0.002,192,0.001,4952
1,Brimstone,14.4,15.0,9.8,0.514,0.051,205,0.001,97960
2,Phoenix,17.3,15.6,4.9,0.513,0.033,240,0.002,64041
3,Sage,13.9,14.9,7.1,0.508,0.047,192,0.001,91167
4,Sova,14.8,14.5,6.1,0.503,0.095,207,0.001,183771
5,Raze,16.5,16.0,5.0,0.499,0.05,237,0.002,96156
6,Reyna,17.5,15.8,4.5,0.497,0.104,241,0.002,200876
7,Cypher,14.6,14.6,5.0,0.496,0.027,197,0.001,51642
8,Killjoy,14.4,14.4,3.7,0.495,0.091,198,0.001,175875
9,Astra,15.2,14.8,7.6,0.491,0.019,207,0.001,36244
10,Jett,17.4,16.1,3.7,0.491,0.143,238,0.002,274552
11,Viper,14.6,14.8,5.8,0.487,0.0069999999999999,202,0.001,13051
12,Skye,14.2,15.2,7.9,0.487,0.04,197,0.001,76522
13,Deadlock,15.0,15.0,3.8,0.487,0.044,219,0.001,85492
14,Omen,14.8,15.1,8.6,0.487,0.1159999999999999,204,0.001,223988
15,Fade,14.4,15.1,6.6,0.485,0.018,198,0.001,33965
16,Chamber,16.4,15.2,2.9,0.483,0.032,220,0.002,61305
17,Breach,14.4,15.5,7.1,0.475,0.0139999999999999,199,0.001,27534
18,Yoru,16.0,15.8,4.4,0.474,0.01,219,0.002,18338
19,Gekko,14.0,15.3,4.8,0.467,0.012,191,0.001,23743
20,Neon,15.9,16.5,4.1,0.466,0.0069999999999999,222,0.002,13586
21,Harbor,14.2,15.2,6.2,0.46,0.002,196,0.001,4025
22,KAY/O,14.3,15.6,9.0,0.4579999999999999,0.038,202,0.001,72317
1,Brimstone,14.5,15.0,10.0,0.52,0.049,206,0.001,87649
2,Phoenix,17.3,15.6,4.9,0.517,0.034,241,0.002,59972
3,Sova,14.9,14.5,6.2,0.506,0.102,208,0.001,181416
4,Sage,14.1,14.9,7.1,0.506,0.043,194,0.001,76317
5,Reyna,17.6,15.8,4.5,0.499,0.103,241,0.002,184217
6,Cypher,14.8,14.6,4.9,0.496,0.027,199,0.001,48404
7,Killjoy,14.6,14.4,3.7,0.496,0.09,200,0.001,161283
8,Astra,15.4,14.8,7.8,0.495,0.019,209,0.001,34487
9,Viper,14.9,14.7,5.9,0.493,0.005,206,0.001,9633
10,Raze,16.6,16.0,5.0,0.492,0.048,238,0.002,85769
11,Jett,17.5,16.1,3.7,0.491,0.152,239,0.002,271016
12,Fade,14.5,15.1,6.6,0.491,0.017,199,0.001,30153
13,Skye,14.4,15.2,7.8,0.489,0.038,198,0.001,67876
14,Deadlock,15.0,15.1,3.8,0.488,0.043,211,0.001,77126
15,Chamber,16.5,15.2,2.8,0.488,0.032,220,0.002,58020
16,Omen,14.9,15.1,8.8,0.487,0.118,204,0.001,210874
17,Gekko,14.2,15.3,4.8,0.473,0.011,192,0.001,19473
18,Breach,14.4,15.5,7.2,0.473,0.013,199,0.001,23495
19,Yoru,16.1,15.8,4.4,0.471,0.009,219,0.002,16396
20,Neon,16.1,16.6,4.1,0.456,0.006,222,0.002,11182
21,KAY/O,14.4,15.6,9.1,0.4529999999999999,0.039,203,0.001,68790
22,Harbor,14.3,15.4,6.3,0.439,0.002,198,0.001,3174
