Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,15.0,9.8,0.514,0.051,205,0.001,97960
2,Phoenix,17.3,15.6,4.9,0.513,0.033,240,0.002,64041
3,Sage,13.9,14.9,7.1,0.508,0.047,192,0.001,91167
4,Sova,14.8,14.5,6.1,0.503,0.095,207,0.001,183771
5,Raze,16.5,16.0,5.0,0.499,0.05,237,0.002,96156
6,Reyna,17.5,15.8,4.5,0.49700000000000005,0.10400000000000001,241,0.002,200876
7,Cypher,14.6,14.6,5.0,0.496,0.027000000000000003,197,0.001,51642
8,Killjoy,14.4,14.4,3.7,0.495,0.091,198,0.001,175875
9,Astra,15.2,14.8,7.6,0.491,0.019,207,0.001,36244
10,Jett,17.4,16.1,3.7,0.491,0.14300000000000002,238,0.002,274552
11,Viper,14.6,14.8,5.8,0.48700000000000004,0.006999999999999999,202,0.001,13051
12,Skye,14.2,15.2,7.9,0.48700000000000004,0.04,197,0.001,76522
13,Deadlock,15.0,15.0,3.8,0.48700000000000004,0.044000000000000004,219,0.001,85492
14,Omen,14.8,15.1,8.6,0.48700000000000004,0.11599999999999999,204,0.001,223988
15,Fade,14.4,15.1,6.6,0.485,0.018000000000000002,198,0.001,33965
16,Chamber,16.4,15.2,2.9,0.483,0.032,220,0.002,61305
17,Breach,14.4,15.5,7.1,0.475,0.013999999999999999,199,0.001,27534
18,Yoru,16.0,15.8,4.4,0.474,0.01,219,0.002,18338
19,Gekko,14.0,15.3,4.8,0.467,0.012,191,0.001,23743
20,Neon,15.9,16.5,4.1,0.466,0.006999999999999999,222,0.002,13586
21,Harbor,14.2,15.2,6.2,0.46,0.002,196,0.001,4025
22,KAY/O,14.3,15.6,9.0,0.45799999999999996,0.038,202,0.001,72317
