Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.8,8.1,0.509,0.0969999999999999,203,0.001,211287
2,Sage,13.6,14.9,6.7,0.506,0.061,188,0.001,131670
3,Reyna,17.8,15.5,4.2,0.503,0.1,244,0.002,217732
4,Raze,16.8,15.9,4.8,0.502,0.111,242,0.002,240026
5,Phoenix,17.1,15.4,4.3,0.502,0.0279999999999999,237,0.002,61094
6,Skye,14.2,15.0,7.4,0.497,0.093,196,0.001,201462
7,Sova,14.6,14.7,5.5,0.497,0.03,203,0.001,65519
8,Killjoy,14.0,14.4,3.5,0.496,0.0409999999999999,193,0.001,89615
9,Deadlock,14.8,15.0,3.8,0.493,0.051,211,0.001,110054
10,Viper,14.8,14.7,5.5,0.493,0.022,205,0.001,46919
11,Gekko,14.1,15.1,4.6,0.492,0.021,191,0.001,46111
12,Chamber,16.0,14.8,2.7,0.49,0.045,215,0.002,96976
13,Jett,17.2,15.9,3.5,0.489,0.093,237,0.002,201291
14,Fade,14.3,15.1,6.2,0.487,0.023,196,0.001,50901
15,Cypher,14.2,14.5,4.5,0.486,0.048,192,0.001,103535
16,Astra,14.9,14.7,6.2,0.482,0.0139999999999999,203,0.001,30923
17,Omen,14.7,15.2,6.9,0.478,0.061,202,0.001,132994
18,Breach,14.3,15.5,6.3,0.467,0.017,198,0.001,37755
19,Yoru,16.1,15.7,4.1,0.466,0.015,222,0.002,31941
20,Neon,15.8,16.3,3.9,0.4579999999999999,0.008,220,0.002,16821
21,Harbor,13.8,15.2,5.7,0.456,0.005,190,0.001,9826
22,KAY/O,14.1,15.6,8.4,0.447,0.015,200,0.001,33074
1,Sage,13.7,14.9,6.7,0.51,0.0559999999999999,189,0.001,109068
2,Brimstone,14.5,14.8,8.2,0.507,0.1009999999999999,203,0.001,195492
3,Phoenix,17.2,15.5,4.3,0.503,0.027,238,0.002,52442
4,Sova,14.7,14.6,5.6,0.5,0.031,205,0.001,59084
5,Reyna,17.8,15.6,4.2,0.499,0.098,244,0.002,188500
6,Raze,16.9,16.0,4.8,0.497,0.115,242,0.002,222796
7,Skye,14.3,15.0,7.4,0.496,0.096,197,0.001,186141
8,Killjoy,14.0,14.4,3.5,0.494,0.04,194,0.001,76984
9,Gekko,14.2,15.1,4.6,0.492,0.019,193,0.001,37568
10,Fade,14.4,15.0,6.3,0.492,0.023,198,0.001,44613
11,Viper,14.9,14.7,5.5,0.492,0.02,206,0.001,38994
12,Deadlock,14.9,15.1,3.8,0.489,0.05,206,0.001,96899
13,Cypher,14.4,14.5,4.5,0.488,0.049,193,0.001,93822
14,Jett,17.3,15.9,3.5,0.488,0.0969999999999999,237,0.002,187596
15,Chamber,16.1,14.8,2.7,0.487,0.047,215,0.002,91023
16,Astra,15.0,14.7,6.3,0.485,0.0139999999999999,203,0.001,27934
17,Yoru,16.3,15.8,4.2,0.474,0.0139999999999999,224,0.002,27820
18,Omen,14.8,15.2,7.0,0.473,0.059,202,0.001,114373
19,Breach,14.4,15.5,6.4,0.469,0.016,199,0.001,31289
20,Neon,16.0,16.4,3.9,0.46,0.0069999999999999,221,0.002,13574
21,Harbor,14.0,15.2,5.7,0.455,0.004,192,0.001,8354
22,KAY/O,14.2,15.6,8.5,0.4539999999999999,0.0139999999999999,201,0.001,27562
1,Sage,14.0,14.9,6.7,0.509,0.053,191,0.001,94252
2,Brimstone,14.7,14.9,8.3,0.509,0.105,205,0.001,186793
3,Phoenix,17.2,15.5,4.4,0.505,0.026,239,0.002,46363
4,Skye,14.4,15.0,7.5,0.5,0.102,197,0.001,181667
5,Reyna,17.9,15.6,4.2,0.498,0.094,244,0.002,168669
6,Viper,15.1,14.8,5.5,0.496,0.019,209,0.001,33438
7,Raze,17.0,16.0,4.8,0.496,0.12,244,0.002,214546
8,Killjoy,14.2,14.4,3.5,0.494,0.038,194,0.001,68545
9,Sova,14.7,14.7,5.6,0.494,0.031,205,0.001,55761
10,Gekko,14.3,15.1,4.6,0.493,0.018,193,0.001,31690
11,Cypher,14.4,14.5,4.5,0.49,0.049,194,0.001,87604
12,Deadlock,15.1,15.1,3.8,0.49,0.049,208,0.001,86642
13,Jett,17.4,15.9,3.5,0.488,0.102,237,0.002,182907
14,Chamber,16.2,14.9,2.7,0.487,0.049,216,0.002,87468
15,Fade,14.5,15.1,6.3,0.486,0.022,198,0.001,39427
16,Yoru,16.4,15.7,4.2,0.477,0.0139999999999999,226,0.002,25053
17,Omen,14.8,15.2,7.1,0.475,0.057,203,0.001,102108
18,Astra,15.1,14.7,6.4,0.474,0.0139999999999999,204,0.001,25433
19,Breach,14.5,15.4,6.5,0.4679999999999999,0.015,199,0.001,26256
20,Neon,16.1,16.3,3.9,0.466,0.006,222,0.002,10911
21,Harbor,14.1,15.3,5.9,0.447,0.004,193,0.001,6970
22,KAY/O,14.2,15.6,8.6,0.4429999999999999,0.013,202,0.001,23623
