Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.8,8.1,0.509,0.09699999999999999,203,0.001,211287
2,Sage,13.6,14.9,6.7,0.506,0.061,188,0.001,131670
3,Reyna,17.8,15.5,4.2,0.503,0.1,244,0.002,217732
4,Raze,16.8,15.9,4.8,0.502,0.111,242,0.002,240026
5,Phoenix,17.1,15.4,4.3,0.502,0.027999999999999997,237,0.002,61094
6,Skye,14.2,15.0,7.4,0.49700000000000005,0.09300000000000001,196,0.001,201462
7,Sova,14.6,14.7,5.5,0.49700000000000005,0.03,203,0.001,65519
8,Killjoy,14.0,14.4,3.5,0.496,0.040999999999999995,193,0.001,89615
9,Deadlock,14.8,15.0,3.8,0.493,0.051,211,0.001,110054
10,Viper,14.8,14.7,5.5,0.493,0.022000000000000002,205,0.001,46919
11,Gekko,14.1,15.1,4.6,0.49200000000000005,0.021,191,0.001,46111
12,Chamber,16.0,14.8,2.7,0.49,0.045,215,0.002,96976
13,Jett,17.2,15.9,3.5,0.489,0.09300000000000001,237,0.002,201291
14,Fade,14.3,15.1,6.2,0.48700000000000004,0.023,196,0.001,50901
15,Cypher,14.2,14.5,4.5,0.486,0.048,192,0.001,103535
16,Astra,14.9,14.7,6.2,0.48200000000000004,0.013999999999999999,203,0.001,30923
17,Omen,14.7,15.2,6.9,0.478,0.061,202,0.001,132994
18,Breach,14.3,15.5,6.3,0.467,0.017,198,0.001,37755
19,Yoru,16.1,15.7,4.1,0.466,0.015,222,0.002,31941
20,Neon,15.8,16.3,3.9,0.45799999999999996,0.008,220,0.002,16821
21,Harbor,13.8,15.2,5.7,0.456,0.005,190,0.001,9826
22,KAY/O,14.1,15.6,8.4,0.447,0.015,200,0.001,33074
