Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.7,8.8,0.51,0.11,204,0.001,235843
2,Killjoy,14.4,14.3,3.8,0.506,0.064,199,0.001,137354
3,Sage,13.5,14.8,6.8,0.504,0.052,188,0.001,111073
4,Reyna,17.7,15.4,4.4,0.501,0.105,245,0.002,223774
5,Phoenix,16.9,15.3,4.5,0.499,0.025,236,0.002,53349
6,Fade,14.2,14.9,6.2,0.499,0.025,196,0.001,54209
7,Raze,16.6,15.7,4.7,0.498,0.067,237,0.002,143475
8,Jett,17.3,15.8,3.7,0.493,0.114,239,0.002,244471
9,Cypher,14.7,14.6,4.8,0.492,0.036,200,0.001,77653
10,Breach,14.3,15.3,6.9,0.491,0.09,197,0.001,193445
11,Skye,14.0,15.0,7.3,0.491,0.046,194,0.001,98177
12,Gekko,13.8,15.0,4.7,0.49,0.022,189,0.001,46734
13,Chamber,16.3,14.9,2.9,0.489,0.043,220,0.002,91485
14,Neon,16.4,16.2,4.3,0.486,0.023,229,0.002,48205
15,Viper,14.4,14.7,5.7,0.486,0.0279999999999999,200,0.001,59627
16,Deadlock,14.9,15.1,3.9,0.485,0.048,207,0.001,102366
17,Sova,14.3,14.8,5.4,0.479,0.013,201,0.001,27425
18,Astra,15.0,14.7,6.4,0.476,0.012,204,0.001,26108
19,Yoru,15.5,15.5,4.3,0.4679999999999999,0.012,216,0.002,24757
20,Omen,14.4,15.2,6.9,0.46,0.039,200,0.001,84152
21,KAY/O,14.1,15.5,8.8,0.457,0.02,200,0.001,42563
22,Harbor,13.8,15.3,6.0,0.4379999999999999,0.006,191,0.001,11804
1,Brimstone,14.6,14.7,8.9,0.513,0.115,205,0.001,219059
2,Killjoy,14.5,14.4,3.8,0.505,0.065,200,0.001,124243
3,Sage,13.7,14.8,6.8,0.504,0.047,189,0.001,89817
4,Phoenix,16.9,15.3,4.6,0.504,0.024,236,0.002,45187
5,Reyna,17.8,15.5,4.4,0.502,0.102,245,0.002,195182
6,Raze,16.6,15.8,4.7,0.495,0.069,237,0.002,130637
7,Gekko,13.9,15.0,4.7,0.494,0.02,190,0.001,38369
8,Jett,17.4,15.8,3.7,0.494,0.121,240,0.002,229919
9,Breach,14.3,15.3,7.1,0.494,0.095,198,0.001,180756
10,Skye,14.1,15.1,7.4,0.493,0.044,195,0.001,83602
11,Cypher,14.8,14.6,4.8,0.492,0.037,201,0.001,71046
12,Fade,14.3,14.9,6.2,0.491,0.025,197,0.001,47311
13,Chamber,16.4,15.0,2.9,0.491,0.045,220,0.002,84972
14,Neon,16.5,16.3,4.3,0.49,0.023,230,0.002,42895
15,Viper,14.5,14.8,5.7,0.489,0.0279999999999999,202,0.001,53335
16,Deadlock,15.0,15.1,3.9,0.486,0.047,209,0.001,89573
17,Astra,15.1,14.8,6.5,0.476,0.012,205,0.001,23060
18,Sova,14.4,14.9,5.4,0.47,0.012,202,0.001,22066
19,Omen,14.5,15.2,7.0,0.465,0.036,200,0.001,67995
20,Yoru,15.7,15.6,4.4,0.4629999999999999,0.011,217,0.002,20690
21,KAY/O,14.2,15.5,8.9,0.457,0.019,202,0.001,36614
22,Harbor,13.9,15.3,6.0,0.429,0.005,192,0.001,9691
1,Brimstone,14.7,14.7,9.1,0.513,0.12,206,0.001,211721
2,Killjoy,14.6,14.4,3.7,0.505,0.065,201,0.001,115374
3,Reyna,17.8,15.5,4.4,0.503,0.099,245,0.002,175668
4,Phoenix,17.1,15.4,4.6,0.5,0.022,237,0.002,39467
5,Sage,13.8,14.9,6.9,0.497,0.042,190,0.001,74315
6,Jett,17.5,15.8,3.7,0.497,0.128,241,0.002,226702
7,Skye,14.2,15.1,7.4,0.496,0.042,196,0.001,74092
8,Cypher,14.9,14.6,4.8,0.494,0.038,202,0.001,67380
9,Raze,16.7,15.8,4.6,0.493,0.071,238,0.002,126008
10,Breach,14.3,15.3,7.2,0.492,0.1009999999999999,198,0.001,177896
11,Neon,16.6,16.4,4.3,0.488,0.022,231,0.002,38447
12,Chamber,16.5,15.0,2.9,0.487,0.046,221,0.002,81844
13,Fade,14.4,15.0,6.2,0.487,0.024,198,0.001,42459
14,Deadlock,15.2,15.1,3.9,0.487,0.045,208,0.001,79260
15,Gekko,14.0,15.1,4.7,0.483,0.019,190,0.001,32846
16,Viper,14.6,14.8,5.7,0.48,0.027,202,0.001,47345
17,Sova,14.5,14.9,5.5,0.477,0.011,203,0.001,18550
18,Astra,15.1,14.7,6.6,0.467,0.012,206,0.001,20631
19,Yoru,15.9,15.7,4.3,0.4639999999999999,0.01,219,0.002,18455
20,KAY/O,14.3,15.5,9.0,0.4629999999999999,0.019,203,0.001,33526
21,Omen,14.6,15.2,7.1,0.462,0.032,202,0.001,56285
22,Harbor,13.8,15.3,6.1,0.427,0.005,191,0.001,8048
