Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.7,8.8,0.51,0.11,204,0.001,235843
2,Killjoy,14.4,14.3,3.8,0.506,0.064,199,0.001,137354
3,Sage,13.5,14.8,6.8,0.504,0.052000000000000005,188,0.001,111073
4,Reyna,17.7,15.4,4.4,0.501,0.105,245,0.002,223774
5,Phoenix,16.9,15.3,4.5,0.499,0.025,236,0.002,53349
6,Fade,14.2,14.9,6.2,0.499,0.025,196,0.001,54209
7,Raze,16.6,15.7,4.7,0.498,0.067,237,0.002,143475
8,Jett,17.3,15.8,3.7,0.493,0.114,239,0.002,244471
9,Cypher,14.7,14.6,4.8,0.49200000000000005,0.036000000000000004,200,0.001,77653
10,Breach,14.3,15.3,6.9,0.491,0.09,197,0.001,193445
11,Skye,14.0,15.0,7.3,0.491,0.046,194,0.001,98177
12,Gekko,13.8,15.0,4.7,0.49,0.022000000000000002,189,0.001,46734
13,Chamber,16.3,14.9,2.9,0.489,0.043,220,0.002,91485
14,Neon,16.4,16.2,4.3,0.486,0.023,229,0.002,48205
15,Viper,14.4,14.7,5.7,0.486,0.027999999999999997,200,0.001,59627
16,Deadlock,14.9,15.1,3.9,0.485,0.048,207,0.001,102366
17,Sova,14.3,14.8,5.4,0.479,0.013000000000000001,201,0.001,27425
18,Astra,15.0,14.7,6.4,0.47600000000000003,0.012,204,0.001,26108
19,Yoru,15.5,15.5,4.3,0.46799999999999997,0.012,216,0.002,24757
20,Omen,14.4,15.2,6.9,0.46,0.039,200,0.001,84152
21,KAY/O,14.1,15.5,8.8,0.457,0.02,200,0.001,42563
22,Harbor,13.8,15.3,6.0,0.43799999999999994,0.006,191,0.001,11804
