Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.9,9.0,0.512,0.049,203,0.001,105358
2,Phoenix,17.2,15.5,4.6,0.507,0.036,239,0.002,78443
3,Sova,14.6,14.6,5.6,0.501,0.068,203,0.001,146234
4,Sage,13.8,15.0,7.0,0.501,0.066,191,0.001,143312
5,Killjoy,14.5,14.5,3.5,0.5,0.0579999999999999,199,0.001,124825
6,Cypher,14.8,14.6,4.7,0.496,0.033,200,0.001,70719
7,Reyna,17.6,15.7,4.4,0.495,0.111,243,0.002,240146
8,Jett,17.3,15.9,3.7,0.493,0.133,238,0.002,288569
9,Raze,16.5,15.9,4.7,0.493,0.049,236,0.002,105409
10,Astra,15.0,14.7,6.7,0.493,0.018,204,0.001,38822
11,Skye,14.2,15.1,7.6,0.491,0.0579999999999999,197,0.001,126042
12,Gekko,14.0,15.1,4.9,0.49,0.019,192,0.001,41562
13,Chamber,16.0,15.0,2.9,0.489,0.0409999999999999,216,0.002,88975
14,Omen,14.8,15.1,7.7,0.488,0.12,203,0.001,259360
15,Deadlock,14.8,15.1,3.8,0.488,0.045,217,0.001,98121
16,Breach,14.4,15.4,7.0,0.487,0.0289999999999999,200,0.001,62829
17,Fade,14.3,15.2,6.5,0.485,0.019,197,0.001,40147
18,Viper,14.5,14.8,5.7,0.484,0.0069999999999999,202,0.001,14600
19,Yoru,15.8,15.8,4.3,0.478,0.012,218,0.002,25500
20,Neon,16.0,16.4,4.1,0.475,0.01,223,0.002,21875
21,KAY/O,14.2,15.6,8.9,0.4479999999999999,0.018,203,0.001,38876
22,Harbor,14.0,15.4,6.1,0.44,0.002,194,0.001,5365
1,Brimstone,14.4,14.9,9.1,0.511,0.047,203,0.001,89709
2,Phoenix,17.3,15.6,4.6,0.51,0.037,240,0.002,70653
3,Killjoy,14.6,14.5,3.5,0.504,0.0579999999999999,201,0.001,112592
4,Sage,13.9,15.0,7.0,0.501,0.061,192,0.001,117107
5,Reyna,17.7,15.7,4.4,0.501,0.109,243,0.002,210736
6,Sova,14.7,14.7,5.7,0.498,0.072,204,0.001,138492
7,Gekko,14.2,15.2,5.0,0.497,0.017,194,0.001,32862
8,Cypher,14.8,14.7,4.7,0.495,0.033,201,0.001,63878
9,Fade,14.4,15.1,6.6,0.492,0.018,199,0.001,35119
10,Raze,16.5,15.9,4.7,0.492,0.048,237,0.002,92007
11,Jett,17.3,16.0,3.6,0.491,0.14,238,0.002,270561
12,Skye,14.3,15.2,7.6,0.491,0.059,198,0.001,113922
13,Deadlock,15.0,15.1,3.8,0.488,0.044,217,0.001,85123
14,Breach,14.5,15.4,7.1,0.488,0.0289999999999999,200,0.001,55343
15,Omen,14.8,15.1,7.8,0.487,0.122,203,0.001,236055
16,Astra,15.1,14.7,6.8,0.486,0.018,205,0.001,35238
17,Viper,14.7,14.8,5.8,0.48,0.006,204,0.001,11127
18,Chamber,16.2,15.0,2.8,0.479,0.042,217,0.002,81309
19,Neon,16.0,16.5,4.1,0.471,0.009,223,0.002,17400
20,Yoru,15.9,15.8,4.4,0.465,0.011,219,0.002,21892
21,Harbor,13.9,15.4,6.2,0.4529999999999999,0.002,192,0.001,4138
22,KAY/O,14.3,15.6,9.1,0.446,0.017,204,0.001,32513
1,Brimstone,14.5,15.0,9.3,0.512,0.045,205,0.001,80261
2,Phoenix,17.4,15.6,4.7,0.506,0.037,241,0.002,66400
3,Killjoy,14.8,14.5,3.5,0.504,0.059,202,0.001,105847
4,Sage,14.1,15.0,7.0,0.504,0.0559999999999999,194,0.001,99559
5,Sova,14.8,14.7,5.7,0.5,0.077,204,0.001,137383
6,Raze,16.7,15.9,4.7,0.499,0.046,238,0.002,82895
7,Reyna,17.8,15.8,4.4,0.497,0.108,244,0.002,193519
8,Skye,14.4,15.2,7.7,0.497,0.06,199,0.001,106793
9,Fade,14.5,15.1,6.6,0.492,0.017,200,0.001,31135
10,Astra,15.2,14.8,6.9,0.492,0.018,206,0.001,32965
11,Omen,14.9,15.1,8.0,0.491,0.124,204,0.001,222663
12,Jett,17.4,16.0,3.6,0.491,0.148,238,0.002,265089
13,Gekko,14.3,15.2,5.0,0.491,0.015,195,0.001,27645
14,Cypher,14.9,14.7,4.7,0.491,0.034,202,0.001,61519
15,Deadlock,15.1,15.2,3.8,0.489,0.042,222,0.001,75723
16,Breach,14.5,15.4,7.3,0.488,0.0279999999999999,201,0.001,50171
17,Chamber,16.3,15.0,2.8,0.487,0.043,218,0.002,76906
18,Viper,14.7,14.8,5.7,0.48,0.005,204,0.001,8250
19,Yoru,16.1,15.7,4.4,0.478,0.011,220,0.002,19203
20,Neon,16.1,16.5,4.1,0.472,0.008,223,0.002,14559
21,Harbor,14.0,15.3,6.2,0.4579999999999999,0.002,194,0.001,3325
22,KAY/O,14.5,15.6,9.1,0.4479999999999999,0.016,206,0.001,28071
