Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,15.0,9.3,0.512,0.045,205,0.001,80261
2,Phoenix,17.4,15.6,4.7,0.506,0.037000000000000005,241,0.002,66400
3,Killjoy,14.8,14.5,3.5,0.504,0.059000000000000004,202,0.001,105847
4,Sage,14.1,15.0,7.0,0.504,0.055999999999999994,194,0.001,99559
5,Sova,14.8,14.7,5.7,0.5,0.077,204,0.001,137383
6,Raze,16.7,15.9,4.7,0.499,0.046,238,0.002,82895
7,Reyna,17.8,15.8,4.4,0.49700000000000005,0.10800000000000001,244,0.002,193519
8,Skye,14.4,15.2,7.7,0.49700000000000005,0.06,199,0.001,106793
9,Fade,14.5,15.1,6.6,0.49200000000000005,0.017,200,0.001,31135
10,Astra,15.2,14.8,6.9,0.49200000000000005,0.018000000000000002,206,0.001,32965
11,Omen,14.9,15.1,8.0,0.491,0.124,204,0.001,222663
12,Jett,17.4,16.0,3.6,0.491,0.14800000000000002,238,0.002,265089
13,Gekko,14.3,15.2,5.0,0.491,0.015,195,0.001,27645
14,Cypher,14.9,14.7,4.7,0.491,0.034,202,0.001,61519
15,Deadlock,15.1,15.2,3.8,0.489,0.042,222,0.001,75723
16,Breach,14.5,15.4,7.3,0.488,0.027999999999999997,201,0.001,50171
17,Chamber,16.3,15.0,2.8,0.48700000000000004,0.043,218,0.002,76906
18,Viper,14.7,14.8,5.7,0.48,0.005,204,0.001,8250
19,Yoru,16.1,15.7,4.4,0.478,0.011000000000000001,220,0.002,19203
20,Neon,16.1,16.5,4.1,0.47200000000000003,0.008,223,0.002,14559
21,Harbor,14.0,15.3,6.2,0.45799999999999996,0.002,194,0.001,3325
22,KAY/O,14.5,15.6,9.1,0.44799999999999995,0.016,206,0.001,28071
