Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.9,8.8,0.509,0.039,203,0.001,82480
2,Killjoy,14.5,14.3,3.6,0.506,0.06,199,0.001,127820
3,Phoenix,17.0,15.4,4.6,0.505,0.026,237,0.002,55554
4,Raze,16.7,15.9,4.9,0.502,0.086,242,0.002,183892
5,Sage,13.6,14.9,7.0,0.499,0.049,189,0.001,103436
6,Reyna,17.7,15.6,4.3,0.498,0.103,243,0.002,220679
7,Chamber,16.4,14.9,2.9,0.498,0.054,221,0.002,115828
8,Skye,14.1,15.0,8.1,0.497,0.068,195,0.001,145379
9,Gekko,14.0,15.1,4.8,0.494,0.046,190,0.001,98110
10,Jett,17.4,16.0,3.7,0.493,0.11,239,0.002,234041
11,Viper,14.8,14.7,5.7,0.493,0.018,206,0.001,38019
12,Breach,14.3,15.3,7.1,0.493,0.046,198,0.001,98701
13,Astra,15.0,14.7,6.4,0.493,0.021,204,0.001,45330
14,Fade,14.2,15.1,6.4,0.492,0.022,196,0.001,47346
15,Omen,14.8,15.1,7.4,0.49,0.104,203,0.001,221773
16,Deadlock,14.9,15.1,3.8,0.49,0.05,208,0.001,106379
17,Cypher,14.6,14.6,4.6,0.487,0.024,197,0.001,51320
18,Sova,14.4,14.9,5.6,0.479,0.015,202,0.001,32672
19,Harbor,14.0,15.2,6.2,0.477,0.016,191,0.001,33580
20,Neon,16.2,16.4,4.2,0.474,0.0139999999999999,227,0.002,30845
21,Yoru,15.7,15.8,4.3,0.4679999999999999,0.011,216,0.002,24360
22,KAY/O,14.1,15.6,9.1,0.447,0.016,200,0.001,34787
1,Brimstone,14.5,14.9,8.9,0.51,0.037,205,0.001,69432
2,Killjoy,14.6,14.3,3.6,0.508,0.062,201,0.001,117181
3,Phoenix,17.2,15.5,4.6,0.507,0.025,238,0.002,47609
4,Astra,15.1,14.6,6.5,0.503,0.022,205,0.001,41673
5,Sage,13.8,15.0,7.0,0.502,0.044,191,0.001,83064
6,Raze,16.9,15.9,4.8,0.502,0.089,243,0.002,169009
7,Gekko,14.1,15.1,4.8,0.502,0.046,191,0.001,87495
8,Reyna,17.7,15.6,4.3,0.498,0.1009999999999999,243,0.002,192630
9,Skye,14.2,15.0,8.2,0.497,0.068,196,0.001,130134
10,Chamber,16.5,14.9,2.8,0.495,0.057,221,0.002,109223
11,Deadlock,15.1,15.0,3.8,0.494,0.049,214,0.001,92281
12,Jett,17.4,16.0,3.6,0.492,0.115,239,0.002,217638
13,Omen,14.8,15.1,7.5,0.492,0.105,203,0.001,199471
14,Viper,14.9,14.8,5.8,0.491,0.017,206,0.001,31670
15,Breach,14.3,15.3,7.2,0.49,0.048,198,0.001,90907
16,Fade,14.3,15.1,6.5,0.489,0.022,197,0.001,41389
17,Cypher,14.7,14.6,4.6,0.488,0.024,199,0.001,45723
18,Sova,14.6,14.9,5.6,0.483,0.0139999999999999,204,0.001,26801
19,Neon,16.3,16.4,4.3,0.471,0.0139999999999999,227,0.002,26226
20,Yoru,15.7,15.7,4.3,0.469,0.011,217,0.002,20341
21,Harbor,14.1,15.2,6.2,0.469,0.016,193,0.001,30928
22,KAY/O,14.2,15.6,9.2,0.446,0.015,202,0.001,28988
1,Brimstone,14.5,14.9,9.1,0.513,0.034,205,0.001,60450
2,Astra,15.1,14.6,6.7,0.507,0.023,205,0.001,40055
3,Raze,17.0,15.9,4.8,0.502,0.091,244,0.002,160230
4,Phoenix,17.3,15.5,4.6,0.501,0.024,239,0.002,41562
5,Sage,14.0,15.0,7.0,0.501,0.039,193,0.001,67846
6,Killjoy,14.8,14.4,3.6,0.501,0.063,202,0.001,111474
7,Reyna,17.8,15.6,4.3,0.5,0.099,244,0.002,174143
8,Gekko,14.2,15.1,4.8,0.5,0.046,191,0.001,81256
9,Skye,14.3,15.1,8.2,0.498,0.069,197,0.001,121983
10,Chamber,16.6,15.0,2.8,0.496,0.061,222,0.002,106540
11,Omen,14.9,15.1,7.7,0.495,0.107,204,0.001,188295
12,Jett,17.5,16.0,3.6,0.493,0.121,239,0.002,212903
13,Fade,14.4,15.1,6.5,0.492,0.021,198,0.001,36614
14,Viper,15.1,14.7,5.9,0.491,0.015,208,0.001,26942
15,Deadlock,15.2,15.1,3.8,0.489,0.046,214,0.001,81656
16,Breach,14.4,15.3,7.3,0.486,0.049,198,0.001,86259
17,Cypher,14.8,14.7,4.6,0.484,0.024,200,0.001,41546
18,Sova,14.7,14.9,5.7,0.479,0.013,205,0.001,23098
19,Neon,16.3,16.5,4.3,0.477,0.013,227,0.002,22249
20,Yoru,16.0,15.9,4.3,0.466,0.011,219,0.002,18484
21,Harbor,14.2,15.2,6.3,0.465,0.017,194,0.001,29366
22,KAY/O,14.3,15.6,9.3,0.446,0.0139999999999999,203,0.001,25066
