Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,14.9,8.9,0.51,0.037000000000000005,205,0.001,69432
2,Killjoy,14.6,14.3,3.6,0.508,0.062,201,0.001,117181
3,Phoenix,17.2,15.5,4.6,0.507,0.025,238,0.002,47609
4,Astra,15.1,14.6,6.5,0.503,0.022000000000000002,205,0.001,41673
5,Sage,13.8,15.0,7.0,0.502,0.044000000000000004,191,0.001,83064
6,Raze,16.9,15.9,4.8,0.502,0.08900000000000001,243,0.002,169009
7,Gekko,14.1,15.1,4.8,0.502,0.046,191,0.001,87495
8,Reyna,17.7,15.6,4.3,0.498,0.10099999999999999,243,0.002,192630
9,Skye,14.2,15.0,8.2,0.49700000000000005,0.068,196,0.001,130134
10,Chamber,16.5,14.9,2.8,0.495,0.057,221,0.002,109223
11,Deadlock,15.1,15.0,3.8,0.494,0.049,214,0.001,92281
12,Jett,17.4,16.0,3.6,0.49200000000000005,0.115,239,0.002,217638
13,Omen,14.8,15.1,7.5,0.49200000000000005,0.105,203,0.001,199471
14,Viper,14.9,14.8,5.8,0.491,0.017,206,0.001,31670
15,Breach,14.3,15.3,7.2,0.49,0.048,198,0.001,90907
16,Fade,14.3,15.1,6.5,0.489,0.022000000000000002,197,0.001,41389
17,Cypher,14.7,14.6,4.6,0.488,0.024,199,0.001,45723
18,Sova,14.6,14.9,5.6,0.483,0.013999999999999999,204,0.001,26801
19,Neon,16.3,16.4,4.3,0.47100000000000003,0.013999999999999999,227,0.002,26226
20,Yoru,15.7,15.7,4.3,0.469,0.011000000000000001,217,0.002,20341
21,Harbor,14.1,15.2,6.2,0.469,0.016,193,0.001,30928
22,KAY/O,14.2,15.6,9.2,0.446,0.015,202,0.001,28988
