Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.3,15.5,4.8,0.513,0.037,241,0.002,78995
2,Killjoy,14.5,14.3,3.7,0.507,0.05,201,0.001,106592
3,Brimstone,14.2,14.9,8.5,0.505,0.037,202,0.001,78273
4,Cypher,14.5,14.4,4.8,0.505,0.034,198,0.001,72511
5,Gekko,14.0,15.0,5.0,0.503,0.042,191,0.001,90333
6,Sage,13.5,14.9,7.1,0.502,0.054,188,0.001,114992
7,Astra,15.0,14.5,6.7,0.501,0.044,205,0.001,94384
8,Reyna,17.7,15.6,4.5,0.499,0.109,245,0.002,233024
9,Raze,16.4,15.8,4.8,0.498,0.045,236,0.002,95762
10,Fade,14.3,15.1,6.5,0.498,0.0409999999999999,198,0.001,86830
11,Viper,14.7,14.7,6.0,0.496,0.055,205,0.001,117385
12,Skye,14.1,15.1,7.9,0.494,0.066,196,0.001,141592
13,Jett,17.2,15.8,3.7,0.491,0.129,237,0.002,275343
14,Deadlock,14.9,15.1,4.0,0.489,0.047,204,0.001,100006
15,Sova,14.5,14.7,5.7,0.487,0.021,203,0.001,45242
16,Chamber,16.1,14.8,3.0,0.483,0.054,217,0.002,114174
17,Neon,16.0,16.3,4.2,0.481,0.013,225,0.002,27957
18,Yoru,15.9,15.7,4.4,0.48,0.013,220,0.002,28639
19,Omen,14.6,15.2,6.9,0.477,0.042,202,0.001,88789
20,Breach,14.3,15.5,6.6,0.472,0.0139999999999999,200,0.001,29977
21,Harbor,13.8,15.2,6.3,0.469,0.03,189,0.001,64282
22,KAY/O,14.1,15.6,8.5,0.451,0.022,201,0.001,47406
1,Brimstone,14.3,14.9,8.6,0.51,0.035,204,0.001,66637
2,Phoenix,17.3,15.5,4.8,0.509,0.038,242,0.002,72113
3,Sage,13.7,15.0,7.1,0.508,0.049,191,0.001,92696
4,Gekko,14.1,15.0,5.0,0.505,0.042,192,0.001,79389
5,Astra,15.1,14.5,6.7,0.504,0.047,206,0.001,90341
6,Killjoy,14.6,14.4,3.7,0.503,0.05,202,0.001,96082
7,Reyna,17.8,15.6,4.5,0.5,0.108,246,0.002,204850
8,Skye,14.2,15.1,7.9,0.5,0.067,197,0.001,127425
9,Cypher,14.7,14.5,4.8,0.497,0.035,199,0.001,66860
10,Raze,16.5,15.9,4.8,0.497,0.044,237,0.002,83248
11,Viper,14.8,14.7,6.1,0.496,0.0559999999999999,207,0.001,106390
12,Sova,14.6,14.7,5.7,0.493,0.02,204,0.001,38648
13,Fade,14.4,15.1,6.5,0.492,0.042,199,0.001,80547
14,Jett,17.2,15.9,3.7,0.492,0.136,237,0.002,258233
15,Chamber,16.3,14.9,2.9,0.486,0.055,218,0.002,105249
16,Deadlock,15.0,15.1,4.0,0.486,0.046,207,0.001,87533
17,Omen,14.6,15.2,7.0,0.479,0.038,202,0.001,72386
18,Neon,16.2,16.4,4.2,0.478,0.013,226,0.002,23788
19,Breach,14.4,15.5,6.7,0.476,0.013,200,0.001,24815
20,Yoru,15.9,15.7,4.4,0.474,0.013,221,0.002,25168
21,Harbor,13.9,15.3,6.4,0.467,0.031,190,0.001,59441
22,KAY/O,14.2,15.6,8.6,0.4529999999999999,0.022,202,0.001,41051
1,Phoenix,17.4,15.5,4.9,0.515,0.039,242,0.002,68228
2,Brimstone,14.3,14.9,8.7,0.509,0.033,204,0.001,58221
3,Astra,15.1,14.4,6.8,0.506,0.051,206,0.001,90252
4,Gekko,14.2,15.0,5.0,0.502,0.042,193,0.001,73806
5,Reyna,17.8,15.6,4.5,0.502,0.106,246,0.002,187100
6,Sage,13.8,15.0,7.0,0.502,0.044,192,0.001,77610
7,Raze,16.6,15.9,4.8,0.502,0.042,238,0.002,74365
8,Killjoy,14.8,14.4,3.7,0.502,0.052,204,0.001,90761
9,Cypher,14.8,14.5,4.8,0.5,0.036,201,0.001,62698
10,Viper,15.0,14.7,6.1,0.5,0.057,208,0.001,100289
11,Skye,14.3,15.1,7.9,0.499,0.068,198,0.001,120022
12,Fade,14.5,15.1,6.5,0.498,0.043,200,0.001,76286
13,Jett,17.3,15.9,3.7,0.493,0.144,237,0.002,254295
14,Chamber,16.3,14.9,2.9,0.488,0.057,219,0.002,99933
15,Deadlock,15.2,15.2,4.0,0.488,0.044,209,0.001,77385
16,Sova,14.7,14.7,5.7,0.483,0.019,205,0.001,33497
17,Omen,14.7,15.2,7.1,0.478,0.034,203,0.001,60470
18,Yoru,16.2,15.7,4.4,0.477,0.013,223,0.002,22788
19,Neon,16.1,16.4,4.2,0.475,0.011,225,0.002,19538
20,Harbor,14.0,15.2,6.4,0.47,0.032,192,0.001,56567
21,Breach,14.4,15.5,6.9,0.469,0.012,200,0.001,20626
22,KAY/O,14.4,15.6,8.7,0.4479999999999999,0.021,204,0.001,37282
