Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.4,15.5,4.9,0.515,0.039,242,0.002,68228
2,Brimstone,14.3,14.9,8.7,0.509,0.033,204,0.001,58221
3,Astra,15.1,14.4,6.8,0.506,0.051,206,0.001,90252
4,Gekko,14.2,15.0,5.0,0.502,0.042,193,0.001,73806
5,Reyna,17.8,15.6,4.5,0.502,0.106,246,0.002,187100
6,Sage,13.8,15.0,7.0,0.502,0.044000000000000004,192,0.001,77610
7,Raze,16.6,15.9,4.8,0.502,0.042,238,0.002,74365
8,Killjoy,14.8,14.4,3.7,0.502,0.052000000000000005,204,0.001,90761
9,Cypher,14.8,14.5,4.8,0.5,0.036000000000000004,201,0.001,62698
10,Viper,15.0,14.7,6.1,0.5,0.057,208,0.001,100289
11,Skye,14.3,15.1,7.9,0.499,0.068,198,0.001,120022
12,Fade,14.5,15.1,6.5,0.498,0.043,200,0.001,76286
13,Jett,17.3,15.9,3.7,0.493,0.14400000000000002,237,0.002,254295
14,Chamber,16.3,14.9,2.9,0.488,0.057,219,0.002,99933
15,Deadlock,15.2,15.2,4.0,0.488,0.044000000000000004,209,0.001,77385
16,Sova,14.7,14.7,5.7,0.483,0.019,205,0.001,33497
17,Omen,14.7,15.2,7.1,0.478,0.034,203,0.001,60470
18,Yoru,16.2,15.7,4.4,0.47700000000000004,0.013000000000000001,223,0.002,22788
19,Neon,16.1,16.4,4.2,0.475,0.011000000000000001,225,0.002,19538
20,Harbor,14.0,15.2,6.4,0.47,0.032,192,0.001,56567
21,Breach,14.4,15.5,6.9,0.469,0.012,200,0.001,20626
22,KAY/O,14.4,15.6,8.7,0.44799999999999995,0.021,204,0.001,37282
