Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.0,14.9,7.4,0.511,0.1009999999999999,195,0.001,218277
2,Brimstone,14.5,15.0,9.0,0.507,0.043,207,0.001,91756
3,Phoenix,16.9,15.6,4.7,0.501,0.025,237,0.002,54586
4,Raze,16.8,16.0,4.9,0.499,0.094,243,0.002,201727
5,Reyna,17.6,15.6,4.4,0.498,0.099,243,0.002,213936
6,Skye,14.3,15.0,7.9,0.498,0.0819999999999999,198,0.001,177079
7,Astra,15.3,14.7,6.8,0.498,0.03,209,0.001,64148
8,Killjoy,14.5,14.5,3.7,0.491,0.046,201,0.001,98199
9,Omen,15.0,15.1,7.4,0.489,0.105,206,0.001,226395
10,Jett,17.2,16.0,3.8,0.488,0.107,238,0.002,230530
11,Viper,14.8,14.8,5.6,0.486,0.017,206,0.001,35756
12,Cypher,14.7,14.6,4.7,0.486,0.049,200,0.001,106262
13,Gekko,14.1,15.2,4.7,0.486,0.021,193,0.001,46127
14,Deadlock,15.0,15.1,3.9,0.485,0.048,217,0.001,104389
15,Fade,14.3,15.1,6.1,0.484,0.018,197,0.001,38394
16,Sova,14.5,14.9,5.4,0.484,0.017,204,0.001,36242
17,Breach,14.4,15.4,6.9,0.481,0.025,200,0.001,54199
18,Chamber,16.2,15.1,3.0,0.474,0.0279999999999999,219,0.002,61319
19,Neon,15.9,16.3,4.2,0.471,0.009,223,0.002,18997
20,Yoru,15.9,15.6,4.4,0.466,0.011,220,0.002,23560
21,KAY/O,14.2,15.6,8.7,0.4529999999999999,0.021,202,0.001,44860
22,Harbor,14.0,15.3,5.9,0.4479999999999999,0.003,194,0.001,6076
1,Sage,14.1,14.9,7.5,0.511,0.1009999999999999,197,0.001,193156
2,Brimstone,14.6,15.0,9.1,0.508,0.0409999999999999,208,0.001,78845
3,Raze,16.9,16.1,4.9,0.503,0.0969999999999999,244,0.002,186765
4,Phoenix,17.0,15.6,4.7,0.502,0.024,238,0.002,47031
5,Reyna,17.7,15.7,4.4,0.499,0.0969999999999999,244,0.002,186558
6,Astra,15.4,14.7,6.8,0.495,0.031,210,0.001,60147
7,Skye,14.4,15.0,7.9,0.493,0.085,199,0.001,163890
8,Killjoy,14.6,14.5,3.7,0.493,0.044,203,0.001,85140
9,Deadlock,15.2,15.0,3.9,0.492,0.048,214,0.001,91934
10,Omen,15.1,15.1,7.6,0.489,0.107,208,0.001,204703
11,Jett,17.3,16.1,3.8,0.488,0.1119999999999999,239,0.002,215657
12,Cypher,14.8,14.6,4.7,0.487,0.05,201,0.001,96163
13,Gekko,14.3,15.2,4.7,0.486,0.019,194,0.001,37374
14,Fade,14.5,15.1,6.1,0.484,0.017,199,0.001,32784
15,Chamber,16.3,15.1,2.9,0.481,0.0289999999999999,219,0.002,55994
16,Sova,14.8,14.9,5.5,0.48,0.015,207,0.001,29523
17,Breach,14.5,15.4,7.0,0.479,0.025,201,0.001,48082
18,Viper,14.9,14.8,5.7,0.479,0.015,208,0.001,28576
19,Neon,16.0,16.4,4.1,0.4679999999999999,0.008,223,0.002,15485
20,Yoru,16.0,15.6,4.4,0.466,0.01,221,0.002,20078
21,KAY/O,14.3,15.5,8.8,0.455,0.02,204,0.001,38572
22,Harbor,14.0,15.3,5.9,0.428,0.003,194,0.001,5038
1,Sage,14.4,14.9,7.5,0.515,0.1,199,0.001,177518
2,Brimstone,14.8,15.0,9.4,0.513,0.04,209,0.001,70658
3,Phoenix,17.2,15.5,4.7,0.503,0.023,239,0.002,40508
4,Skye,14.5,15.0,8.0,0.501,0.09,199,0.001,159994
5,Raze,17.0,16.1,4.9,0.5,0.103,245,0.002,182245
6,Reyna,17.7,15.7,4.4,0.498,0.094,244,0.002,166771
7,Astra,15.5,14.7,7.0,0.49,0.033,210,0.001,58052
8,Cypher,14.9,14.6,4.7,0.49,0.051,202,0.001,89999
9,Omen,15.1,15.2,7.8,0.49,0.108,208,0.001,192857
10,Jett,17.4,16.1,3.7,0.488,0.1169999999999999,239,0.002,208020
11,Killjoy,14.8,14.5,3.7,0.488,0.043,204,0.001,76122
12,Gekko,14.4,15.2,4.7,0.486,0.018,195,0.001,32027
13,Deadlock,15.3,15.1,3.9,0.485,0.046,215,0.001,81831
14,Viper,15.2,14.8,5.7,0.484,0.013,210,0.001,23493
15,Chamber,16.3,15.1,2.9,0.484,0.0289999999999999,220,0.002,51771
16,Sova,14.8,14.9,5.5,0.484,0.0139999999999999,207,0.001,24161
17,Fade,14.6,15.1,6.2,0.483,0.016,200,0.001,28123
18,Yoru,16.0,15.6,4.4,0.479,0.01,220,0.002,17624
19,Breach,14.5,15.3,7.2,0.479,0.025,201,0.001,44610
20,Neon,16.1,16.4,4.2,0.478,0.0069999999999999,226,0.002,12755
21,KAY/O,14.4,15.6,8.9,0.4529999999999999,0.02,205,0.001,34777
22,Harbor,14.5,15.4,6.0,0.44,0.002,199,0.001,3998
