Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.1,14.9,7.5,0.511,0.10099999999999999,197,0.001,193156
2,Brimstone,14.6,15.0,9.1,0.508,0.040999999999999995,208,0.001,78845
3,Raze,16.9,16.1,4.9,0.503,0.09699999999999999,244,0.002,186765
4,Phoenix,17.0,15.6,4.7,0.502,0.024,238,0.002,47031
5,Reyna,17.7,15.7,4.4,0.499,0.09699999999999999,244,0.002,186558
6,Astra,15.4,14.7,6.8,0.495,0.031,210,0.001,60147
7,Skye,14.4,15.0,7.9,0.493,0.085,199,0.001,163890
8,Killjoy,14.6,14.5,3.7,0.493,0.044000000000000004,203,0.001,85140
9,Deadlock,15.2,15.0,3.9,0.49200000000000005,0.048,214,0.001,91934
10,Omen,15.1,15.1,7.6,0.489,0.107,208,0.001,204703
11,Jett,17.3,16.1,3.8,0.488,0.11199999999999999,239,0.002,215657
12,Cypher,14.8,14.6,4.7,0.48700000000000004,0.05,201,0.001,96163
13,Gekko,14.3,15.2,4.7,0.486,0.019,194,0.001,37374
14,Fade,14.5,15.1,6.1,0.484,0.017,199,0.001,32784
15,Chamber,16.3,15.1,2.9,0.48100000000000004,0.028999999999999998,219,0.002,55994
16,Sova,14.8,14.9,5.5,0.48,0.015,207,0.001,29523
17,Breach,14.5,15.4,7.0,0.479,0.025,201,0.001,48082
18,Viper,14.9,14.8,5.7,0.479,0.015,208,0.001,28576
19,Neon,16.0,16.4,4.1,0.46799999999999997,0.008,223,0.002,15485
20,Yoru,16.0,15.6,4.4,0.466,0.01,221,0.002,20078
21,KAY/O,14.3,15.5,8.8,0.455,0.02,204,0.001,38572
22,Harbor,14.0,15.3,5.9,0.428,0.003,194,0.001,5038
