Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,15.4,14.6,3.4,0.6920000000000001,0.0,203,0.002,13
2,Neon,17.0,15.9,4.7,0.636,0.003,230,0.002,77
3,Breach,15.4,13.6,7.8,0.6,0.0,224,0.001,5
4,Sage,15.8,15.3,7.2,0.574,0.009000000000000001,207,0.001,244
5,Fade,15.3,15.0,7.9,0.555,0.015,213,0.001,425
6,Phoenix,17.7,16.1,5.0,0.5489999999999999,0.02,239,0.002,565
7,Reyna,17.6,15.9,4.4,0.535,0.08199999999999999,236,0.002,2274
8,Astra,16.5,15.0,8.9,0.531,0.012,214,0.001,326
9,Raze,16.5,16.0,4.9,0.522,0.021,235,0.002,592
10,Brimstone,14.8,14.8,13.1,0.518,0.006999999999999999,211,0.001,195
11,Omen,15.5,15.1,10.3,0.513,0.145,207,0.001,4005
12,Yoru,17.4,15.9,4.9,0.513,0.011000000000000001,227,0.002,308
13,Viper,14.5,8.5,4.5,0.5,0.0,203,0.001,2
14,Sova,15.2,14.6,6.6,0.499,0.172,209,0.001,4743
15,Killjoy,15.9,14.8,3.3,0.498,0.132,212,0.001,3639
16,Jett,18.0,16.2,3.4,0.498,0.22899999999999998,242,0.002,6320
17,Cypher,15.4,15.1,4.9,0.496,0.022000000000000002,205,0.001,621
18,KAY/O,15.3,15.7,10.6,0.491,0.068,212,0.001,1870
19,Deadlock,16.9,15.2,3.7,0.483,0.023,219,0.001,646
20,Chamber,17.1,15.7,2.3,0.45899999999999996,0.018000000000000002,223,0.002,499
21,Skye,15.3,16.1,7.3,0.366,0.009000000000000001,206,0.001,257
