Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Breach,15.4,13.3,8.3,0.875,0.0,214,0.001,8
2,Sage,14.7,14.6,6.6,0.5760000000000001,0.017,200,0.001,451
3,Phoenix,17.5,16.0,4.5,0.552,0.01,237,0.002,259
4,Deadlock,16.0,14.9,3.7,0.5329999999999999,0.034,211,0.001,911
5,Sova,15.7,14.8,5.8,0.526,0.031,210,0.001,841
6,Gekko,16.0,14.8,4.6,0.525,0.005,208,0.001,139
7,Yoru,17.3,16.1,4.4,0.521,0.018000000000000002,229,0.002,472
8,Fade,15.6,15.3,6.6,0.513,0.018000000000000002,207,0.001,485
9,Neon,18.0,16.7,4.0,0.513,0.003,246,0.002,76
10,Raze,17.8,16.3,4.5,0.513,0.18100000000000002,249,0.002,4854
11,Cypher,15.2,14.8,4.4,0.509,0.062,200,0.001,1649
12,Viper,16.4,14.7,5.3,0.508,0.026000000000000002,223,0.001,705
13,Reyna,18.1,15.9,4.1,0.49700000000000005,0.055999999999999994,242,0.002,1497
14,Skye,14.9,15.0,7.9,0.49700000000000005,0.15,197,0.001,4012
15,Astra,15.2,14.3,6.8,0.49700000000000005,0.011000000000000001,210,0.001,288
16,Brimstone,15.4,15.1,9.5,0.49200000000000005,0.142,210,0.001,3801
17,Jett,17.9,16.3,3.3,0.491,0.136,240,0.002,3633
18,Chamber,17.3,15.3,2.4,0.49,0.075,222,0.002,2006
19,Killjoy,15.4,14.9,3.0,0.48200000000000004,0.015,203,0.001,396
20,Omen,15.1,15.8,8.4,0.386,0.011000000000000001,199,0.001,285
21,KAY/O,13.0,14.7,4.0,0.0,0.0,212,0.001,3
22,Harbor,16.2,15.5,4.8,0.0,0.0,218,0.001,6
