Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,15.0,15.3,7.0,0.578,0.013999999999999999,201,0.001,377
2,Sova,16.2,15.0,6.2,0.5660000000000001,0.006,217,0.001,175
3,Astra,16.4,14.1,7.4,0.542,0.004,217,0.001,96
4,Reyna,18.0,15.6,4.2,0.52,0.054000000000000006,242,0.002,1470
5,Brimstone,15.6,14.8,10.7,0.513,0.165,214,0.001,4465
6,Yoru,16.4,15.8,4.2,0.512,0.011000000000000001,220,0.002,303
7,Jett,18.0,16.0,3.3,0.51,0.17600000000000002,243,0.002,4785
8,Fade,15.8,14.9,6.4,0.508,0.021,211,0.001,567
9,Omen,22.5,19.5,7.5,0.5,0.0,239,0.002,2
10,Raze,17.3,16.0,4.2,0.499,0.134,241,0.002,3643
11,Cypher,15.6,14.7,4.2,0.49700000000000005,0.059000000000000004,207,0.001,1587
12,Neon,17.0,16.8,4.3,0.489,0.019,232,0.002,503
13,Viper,16.1,16.0,6.1,0.484,0.009000000000000001,211,0.001,244
14,Killjoy,16.0,14.7,3.1,0.48200000000000004,0.09,214,0.001,2434
15,Gekko,15.6,15.1,3.7,0.48100000000000004,0.001,206,0.001,27
16,Breach,14.5,15.3,8.3,0.475,0.152,195,0.001,4131
17,Skye,15.5,15.0,7.8,0.46799999999999997,0.011000000000000001,207,0.001,299
18,Deadlock,16.2,15.0,3.2,0.46799999999999997,0.026000000000000002,214,0.001,718
19,KAY/O,14.8,15.0,9.9,0.46299999999999997,0.006,213,0.001,175
20,Phoenix,17.8,15.8,4.9,0.456,0.006999999999999999,240,0.001,195
21,Chamber,17.3,15.4,2.5,0.452,0.034,226,0.002,924
