Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Viper,14.0,15.3,5.3,0.667,0.0,219,0.001,3
2,Skye,15.5,15.6,8.2,0.536,0.036,206,0.001,994
3,Phoenix,18.1,16.1,5.1,0.535,0.036,242,0.002,1008
4,Gekko,19.6,16.3,5.9,0.529,0.001,235,0.001,17
5,Jett,17.9,16.2,3.3,0.52,0.218,239,0.002,6051
6,Fade,16.1,15.2,7.6,0.516,0.012,216,0.001,320
7,Reyna,17.6,16.0,4.4,0.514,0.086,236,0.002,2392
8,Brimstone,14.4,14.4,10.5,0.513,0.0069999999999999,203,0.001,187
9,Sage,14.0,15.0,7.0,0.507,0.0069999999999999,194,0.001,201
10,Killjoy,16.3,14.8,3.1,0.505,0.1169999999999999,217,0.001,3251
11,Raze,17.0,16.3,4.9,0.502,0.032,241,0.002,898
12,Neon,16.0,16.1,3.8,0.5,0.004,225,0.002,112
13,Omen,15.0,15.1,9.2,0.496,0.141,202,0.001,3907
14,Sova,15.3,14.8,5.9,0.493,0.154,207,0.001,4295
15,Chamber,17.6,15.2,2.5,0.485,0.03,231,0.002,822
16,Yoru,16.9,16.0,4.6,0.478,0.012,229,0.002,335
17,Cypher,16.3,15.2,4.5,0.474,0.0289999999999999,213,0.001,815
18,Astra,15.3,14.6,8.0,0.471,0.018,205,0.001,501
19,Deadlock,16.7,15.2,3.7,0.4639999999999999,0.022,217,0.001,617
20,Breach,14.6,15.6,8.4,0.462,0.035,196,0.001,983
21,KAY/O,15.2,16.1,11.3,0.419,0.003,212,0.001,93
22,Harbor,7.8,16.8,5.0,0.0,0.0,133,0.001,4
