Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Harbor,15.5,14.6,7.4,0.565,0.004,208,0.001,115
2,KAY/O,13.0,14.0,9.8,0.556,0.0,188,0.001,9
3,Gekko,14.9,14.9,5.0,0.545,0.031,195,0.001,831
4,Viper,16.5,14.9,5.7,0.536,0.018000000000000002,222,0.001,476
5,Skye,14.8,14.8,9.2,0.534,0.111,200,0.001,2972
6,Yoru,17.2,16.1,4.7,0.522,0.011000000000000001,232,0.002,301
7,Raze,17.6,16.2,4.5,0.517,0.13,248,0.002,3507
8,Cypher,16.2,15.1,4.4,0.513,0.015,214,0.001,400
9,Breach,14.5,15.4,8.4,0.51,0.032,196,0.001,865
10,Phoenix,17.4,16.3,5.2,0.509,0.008,234,0.001,220
11,Jett,18.3,16.2,3.3,0.507,0.18100000000000002,246,0.002,4869
12,Fade,16.2,15.3,7.5,0.505,0.021,214,0.001,568
13,Neon,16.4,16.0,4.0,0.505,0.011000000000000001,230,0.002,297
14,Omen,15.3,15.2,9.0,0.501,0.142,207,0.001,3823
15,Chamber,17.4,15.2,2.3,0.498,0.063,228,0.002,1706
16,Reyna,17.7,15.8,4.3,0.49200000000000005,0.057,240,0.002,1544
17,Killjoy,15.9,14.6,3.2,0.489,0.109,212,0.001,2919
18,Astra,15.4,14.8,7.5,0.479,0.017,209,0.001,459
19,Deadlock,15.9,14.9,3.6,0.474,0.027999999999999997,210,0.001,742
20,Sova,16.0,15.3,6.7,0.466,0.009000000000000001,216,0.001,232
21,Brimstone,18.0,13.8,11.3,0.41700000000000004,0.0,240,0.001,12
22,Sage,13.6,15.7,6.1,0.33299999999999996,0.0,195,0.001,12
