Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Omen,16.1,14.8,9.2,0.564,0.004,218,0.001,101
2,Brimstone,14.5,14.5,10.4,0.56,0.005,203,0.001,141
3,Phoenix,17.3,15.5,5.0,0.557,0.045,241,0.002,1227
4,Neon,16.8,16.3,4.2,0.546,0.006,229,0.002,163
5,Sage,15.6,15.9,7.4,0.524,0.005,202,0.001,145
6,Fade,14.9,15.1,6.3,0.522,0.049,204,0.001,1338
7,Deadlock,15.9,15.0,3.8,0.516,0.025,211,0.001,686
8,Cypher,15.3,15.0,4.4,0.51,0.024,205,0.001,647
9,Killjoy,16.0,14.8,3.3,0.506,0.1119999999999999,215,0.001,3064
10,Gekko,15.1,15.1,5.0,0.506,0.018,202,0.001,496
11,Skye,14.9,15.4,8.2,0.506,0.104,201,0.001,2849
12,Raze,16.3,16.1,4.8,0.504,0.02,233,0.002,536
13,Reyna,18.0,15.9,4.1,0.501,0.085,243,0.002,2330
14,Astra,15.5,14.6,7.2,0.501,0.122,205,0.001,3326
15,Viper,15.9,14.9,6.1,0.497,0.053,218,0.001,1463
16,Jett,17.6,16.1,3.2,0.494,0.215,236,0.002,5869
17,Harbor,15.1,15.6,6.8,0.477,0.023,199,0.001,616
18,Sova,15.7,14.7,5.9,0.476,0.022,215,0.001,609
19,Yoru,15.9,16.1,4.6,0.471,0.015,218,0.002,401
20,Chamber,17.0,15.2,2.4,0.4629999999999999,0.039,224,0.002,1060
21,KAY/O,15.0,16.0,9.8,0.397,0.011,208,0.001,292
22,Breach,6.0,14.0,7.0,0.0,0.0,126,0.005,1
