Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,KAY/O,15.2,15.5,10.6,0.6,0.001,208,0.001,35
2,Brimstone,16.2,14.9,10.6,0.5329999999999999,0.005,221,0.001,137
3,Skye,15.3,15.1,8.5,0.527,0.144,206,0.001,3838
4,Raze,17.6,16.4,4.9,0.521,0.165,252,0.002,4399
5,Sage,15.1,15.2,7.2,0.519,0.072,206,0.001,1914
6,Chamber,17.7,15.4,2.6,0.513,0.0289999999999999,233,0.002,768
7,Viper,16.5,15.8,5.5,0.511,0.015,220,0.001,405
8,Astra,16.0,14.6,7.9,0.51,0.063,213,0.001,1677
9,Cypher,15.6,14.6,4.1,0.508,0.066,207,0.001,1763
10,Jett,17.9,16.3,3.4,0.5,0.1669999999999999,242,0.002,4454
11,Deadlock,16.3,15.3,3.8,0.498,0.036,214,0.001,955
12,Reyna,17.9,15.6,4.0,0.495,0.057,245,0.002,1524
13,Omen,15.1,14.9,9.0,0.49,0.099,205,0.001,2630
14,Killjoy,16.1,15.0,3.3,0.4679999999999999,0.052,215,0.001,1381
15,Breach,14.9,16.1,8.3,0.461,0.0069999999999999,197,0.001,193
16,Sova,15.9,14.5,7.5,0.455,0.001,218,0.001,22
17,Gekko,14.9,15.1,4.9,0.452,0.002,207,0.001,62
18,Yoru,16.2,15.9,4.6,0.4429999999999999,0.008,222,0.002,221
19,Phoenix,18.3,16.4,4.8,0.426,0.0069999999999999,247,0.002,176
20,Neon,16.4,15.4,3.6,0.387,0.001,245,0.002,31
21,Fade,14.8,15.8,6.4,0.325,0.003,203,0.001,80
