Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.8,8.5,0.51,0.0559999999999999,206,0.001,245542
2,Phoenix,16.8,15.2,4.7,0.508,0.035,239,0.002,154363
3,Sova,14.5,14.4,5.7,0.504,0.061,206,0.001,267253
4,Killjoy,14.1,14.1,3.9,0.501,0.086,200,0.001,377303
5,Reyna,17.6,15.4,4.6,0.5,0.119,248,0.002,520898
6,Raze,16.2,15.6,5.1,0.498,0.061,238,0.002,266160
7,Sage,13.3,14.7,7.0,0.498,0.081,188,0.001,355596
8,Jett,17.2,15.6,3.9,0.496,0.0969999999999999,241,0.002,424421
9,Astra,15.0,14.5,6.6,0.492,0.013,208,0.001,55783
10,Skye,13.7,14.9,7.7,0.491,0.044,195,0.001,192787
11,Deadlock,14.5,14.9,3.9,0.488,0.047,217,0.001,204676
12,Omen,14.7,14.9,7.2,0.488,0.096,206,0.001,422367
13,Viper,14.3,14.6,5.6,0.488,0.018,202,0.001,80929
14,Fade,13.9,14.9,6.3,0.487,0.022,196,0.001,95450
15,Chamber,16.1,14.8,3.2,0.487,0.026,221,0.002,114639
16,Cypher,14.2,14.3,5.0,0.487,0.026,197,0.001,116238
17,Breach,14.3,15.3,6.3,0.482,0.019,202,0.001,85565
18,Gekko,13.6,15.1,4.7,0.477,0.026,190,0.001,112614
19,Neon,15.8,16.0,4.1,0.473,0.017,224,0.002,74081
20,Yoru,15.4,15.4,4.3,0.465,0.016,216,0.002,69805
21,KAY/O,13.7,15.3,8.2,0.4629999999999999,0.03,198,0.001,131514
22,Harbor,13.8,15.2,5.8,0.449,0.005,195,0.001,23113
1,Brimstone,14.4,14.8,8.7,0.511,0.0559999999999999,207,0.001,206400
2,Phoenix,17.2,15.3,4.7,0.508,0.035,243,0.002,129851
3,Sova,14.7,14.4,5.8,0.505,0.064,208,0.001,237768
4,Reyna,17.8,15.4,4.6,0.503,0.119,250,0.002,440405
5,Astra,15.2,14.6,6.7,0.5,0.0139999999999999,210,0.001,50308
6,Killjoy,14.3,14.1,3.9,0.499,0.087,201,0.001,320082
7,Sage,13.6,14.7,7.0,0.498,0.074,191,0.001,274055
8,Raze,16.4,15.7,5.1,0.497,0.059,240,0.002,219952
9,Jett,17.4,15.7,3.8,0.495,0.105,243,0.002,388844
10,Cypher,14.5,14.4,5.0,0.494,0.026,199,0.001,94677
11,Skye,14.0,15.0,7.7,0.492,0.043,197,0.001,159714
12,Omen,14.9,15.0,7.4,0.49,0.099,208,0.001,364599
13,Chamber,16.3,14.8,3.1,0.489,0.026,223,0.002,97316
14,Deadlock,14.8,14.9,3.9,0.488,0.05,211,0.001,184423
15,Fade,14.1,14.9,6.3,0.487,0.021,198,0.001,76039
16,Viper,14.4,14.6,5.5,0.482,0.016,204,0.001,60891
17,Breach,14.4,15.3,6.4,0.482,0.019,204,0.001,70414
18,Gekko,13.9,15.1,4.7,0.478,0.023,193,0.001,84727
19,Neon,16.0,16.1,4.1,0.475,0.015,227,0.002,55353
20,Yoru,15.7,15.4,4.3,0.467,0.015,219,0.002,54352
21,KAY/O,14.0,15.3,8.3,0.46,0.03,200,0.001,112707
22,Harbor,13.9,15.2,5.9,0.455,0.005,196,0.001,16902
1,Brimstone,14.6,14.8,8.9,0.513,0.055,209,0.001,184851
2,Phoenix,17.3,15.3,4.8,0.511,0.035,245,0.002,117004
3,Sova,14.8,14.4,5.8,0.508,0.068,209,0.001,227371
4,Sage,13.7,14.7,7.0,0.504,0.069,192,0.001,230043
5,Reyna,18.0,15.5,4.6,0.503,0.12,251,0.002,401441
6,Killjoy,14.4,14.2,3.8,0.499,0.087,201,0.001,289343
7,Astra,15.3,14.6,6.8,0.498,0.0139999999999999,212,0.001,48075
8,Cypher,14.5,14.4,5.0,0.498,0.025,200,0.001,84435
9,Raze,16.6,15.7,5.1,0.496,0.0579999999999999,241,0.002,194455
10,Jett,17.6,15.7,3.8,0.495,0.114,245,0.002,379009
11,Chamber,16.3,14.8,3.0,0.492,0.027,223,0.002,91038
12,Fade,14.3,14.9,6.3,0.492,0.02,200,0.001,65940
13,Deadlock,14.9,14.9,3.9,0.489,0.049,215,0.001,161926
14,Skye,14.1,15.0,7.7,0.489,0.042,199,0.001,139253
15,Omen,15.0,15.0,7.6,0.488,0.1009999999999999,208,0.001,337349
16,Viper,14.5,14.6,5.6,0.485,0.0139999999999999,204,0.001,47942
17,Breach,14.5,15.4,6.5,0.482,0.018,204,0.001,60562
18,Gekko,14.0,15.1,4.8,0.477,0.021,194,0.001,69012
19,Neon,16.1,16.1,4.1,0.473,0.013,227,0.002,43446
20,Harbor,13.9,15.2,6.0,0.471,0.004,195,0.001,13163
21,Yoru,15.8,15.5,4.3,0.4629999999999999,0.013,221,0.002,43949
22,KAY/O,14.1,15.3,8.4,0.461,0.031,202,0.001,104371
