Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.8,8.7,0.511,0.055999999999999994,207,0.001,206400
2,Phoenix,17.2,15.3,4.7,0.508,0.035,243,0.002,129851
3,Sova,14.7,14.4,5.8,0.505,0.064,208,0.001,237768
4,Reyna,17.8,15.4,4.6,0.503,0.11900000000000001,250,0.002,440405
5,Astra,15.2,14.6,6.7,0.5,0.013999999999999999,210,0.001,50308
6,Killjoy,14.3,14.1,3.9,0.499,0.087,201,0.001,320082
7,Sage,13.6,14.7,7.0,0.498,0.07400000000000001,191,0.001,274055
8,Raze,16.4,15.7,5.1,0.49700000000000005,0.059000000000000004,240,0.002,219952
9,Jett,17.4,15.7,3.8,0.495,0.105,243,0.002,388844
10,Cypher,14.5,14.4,5.0,0.494,0.026000000000000002,199,0.001,94677
11,Skye,14.0,15.0,7.7,0.49200000000000005,0.043,197,0.001,159714
12,Omen,14.9,15.0,7.4,0.49,0.099,208,0.001,364599
13,Chamber,16.3,14.8,3.1,0.489,0.026000000000000002,223,0.002,97316
14,Deadlock,14.8,14.9,3.9,0.488,0.05,211,0.001,184423
15,Fade,14.1,14.9,6.3,0.48700000000000004,0.021,198,0.001,76039
16,Viper,14.4,14.6,5.5,0.48200000000000004,0.016,204,0.001,60891
17,Breach,14.4,15.3,6.4,0.48200000000000004,0.019,204,0.001,70414
18,Gekko,13.9,15.1,4.7,0.478,0.023,193,0.001,84727
19,Neon,16.0,16.1,4.1,0.475,0.015,227,0.002,55353
20,Yoru,15.7,15.4,4.3,0.467,0.015,219,0.002,54352
21,KAY/O,14.0,15.3,8.3,0.46,0.03,200,0.001,112707
22,Harbor,13.9,15.2,5.9,0.455,0.005,196,0.001,16902
