Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.6,7.4,0.509,0.078,204,0.001,345284
2,Reyna,17.9,15.2,4.3,0.503,0.118,251,0.002,520966
3,Killjoy,13.8,14.1,3.8,0.502,0.048,196,0.001,210269
4,Raze,16.6,15.5,4.9,0.501,0.09,242,0.002,397448
5,Sage,13.2,14.7,6.6,0.501,0.084,187,0.001,372520
6,Phoenix,16.7,15.1,4.4,0.5,0.034,237,0.002,149246
7,Gekko,13.8,14.9,4.6,0.495,0.032,192,0.001,141660
8,Sova,14.2,14.6,5.3,0.494,0.0279999999999999,202,0.001,125387
9,Skye,13.8,14.8,7.2,0.494,0.071,195,0.001,311770
10,Jett,17.0,15.5,3.7,0.493,0.074,239,0.002,324579
11,Cypher,14.1,14.3,4.7,0.492,0.0409999999999999,194,0.001,182099
12,Fade,13.8,14.9,6.0,0.49,0.026,195,0.001,114995
13,Chamber,15.7,14.5,3.0,0.49,0.034,215,0.002,147808
14,Viper,14.3,14.6,5.2,0.489,0.027,203,0.001,119778
15,Deadlock,14.5,14.9,3.9,0.487,0.05,206,0.001,221922
16,Astra,14.9,14.5,5.6,0.487,0.011,205,0.001,50213
17,Omen,14.7,15.0,6.1,0.482,0.07,206,0.001,306647
18,Breach,14.3,15.3,5.7,0.481,0.021,201,0.001,92100
19,Neon,15.9,15.9,4.0,0.471,0.017,225,0.002,74873
20,Yoru,15.5,15.4,4.1,0.4629999999999999,0.019,218,0.002,84362
21,KAY/O,13.8,15.3,7.9,0.455,0.02,199,0.001,87137
22,Harbor,13.6,15.2,5.4,0.45,0.0069999999999999,191,0.001,30150
1,Brimstone,14.5,14.6,7.6,0.51,0.081,206,0.001,300238
2,Phoenix,17.0,15.1,4.4,0.506,0.033,240,0.002,121759
3,Reyna,18.1,15.2,4.3,0.505,0.118,253,0.002,439739
4,Sage,13.4,14.7,6.6,0.504,0.078,189,0.001,290437
5,Raze,16.8,15.6,4.8,0.502,0.095,245,0.002,352624
6,Killjoy,13.9,14.2,3.8,0.501,0.046,197,0.001,169929
7,Sova,14.4,14.6,5.3,0.496,0.0279999999999999,204,0.001,102254
8,Gekko,14.0,15.0,4.6,0.494,0.0289999999999999,194,0.001,109374
9,Skye,14.0,14.9,7.2,0.493,0.073,196,0.001,270081
10,Jett,17.3,15.5,3.7,0.493,0.078,241,0.002,288819
11,Astra,14.9,14.5,5.7,0.493,0.012,206,0.001,44507
12,Cypher,14.2,14.3,4.7,0.491,0.042,195,0.001,156275
13,Fade,14.1,14.9,6.1,0.491,0.025,198,0.001,92131
14,Chamber,15.9,14.6,3.0,0.488,0.035,217,0.002,130130
15,Viper,14.5,14.6,5.3,0.488,0.026,205,0.001,97075
16,Deadlock,14.7,14.9,3.9,0.487,0.055,209,0.001,202343
17,Omen,14.8,15.0,6.3,0.48,0.068,207,0.001,253041
18,Breach,14.4,15.3,5.8,0.475,0.02,202,0.001,75641
19,Neon,16.1,16.0,4.0,0.472,0.015,228,0.002,55485
20,Yoru,15.8,15.4,4.1,0.467,0.018,222,0.002,67397
21,KAY/O,14.0,15.4,7.9,0.4579999999999999,0.018,202,0.001,68257
22,Harbor,13.8,15.1,5.5,0.457,0.006,193,0.001,23563
1,Brimstone,14.6,14.6,7.7,0.51,0.084,207,0.001,280798
2,Phoenix,17.2,15.2,4.4,0.508,0.032,242,0.002,108552
3,Sage,13.6,14.7,6.6,0.508,0.074,190,0.001,246402
4,Reyna,18.2,15.3,4.3,0.504,0.119,254,0.002,397063
5,Raze,17.0,15.7,4.8,0.5,0.1,246,0.002,333492
6,Gekko,14.1,15.0,4.6,0.499,0.027,195,0.001,91286
7,Skye,14.2,14.9,7.3,0.497,0.075,198,0.001,251893
8,Killjoy,14.0,14.2,3.7,0.497,0.044,198,0.001,147705
9,Fade,14.2,14.9,6.1,0.496,0.024,199,0.001,80900
10,Sova,14.6,14.6,5.4,0.496,0.0279999999999999,206,0.001,93112
11,Viper,14.7,14.6,5.3,0.496,0.025,207,0.001,83339
12,Jett,17.5,15.6,3.6,0.492,0.083,243,0.002,277299
13,Cypher,14.3,14.3,4.6,0.492,0.043,196,0.001,142296
14,Astra,15.1,14.5,5.8,0.491,0.012,207,0.001,41674
15,Chamber,16.1,14.6,2.9,0.489,0.037,219,0.002,123185
16,Deadlock,14.9,14.9,3.9,0.489,0.054,207,0.001,180417
17,Omen,15.0,15.0,6.4,0.481,0.067,208,0.001,224381
18,Breach,14.5,15.4,5.8,0.48,0.02,203,0.001,66061
19,Neon,16.2,16.0,4.0,0.474,0.013,229,0.002,43791
20,Harbor,14.0,15.1,5.5,0.469,0.006,194,0.001,18866
21,Yoru,16.0,15.5,4.1,0.467,0.017,224,0.002,57062
22,KAY/O,14.1,15.4,8.0,0.452,0.017,203,0.001,58389
