Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.6,7.4,0.509,0.078,204,0.001,345284
2,Reyna,17.9,15.2,4.3,0.503,0.11800000000000001,251,0.002,520966
3,Killjoy,13.8,14.1,3.8,0.502,0.048,196,0.001,210269
4,Raze,16.6,15.5,4.9,0.501,0.09,242,0.002,397448
5,Sage,13.2,14.7,6.6,0.501,0.084,187,0.001,372520
6,Phoenix,16.7,15.1,4.4,0.5,0.034,237,0.002,149246
7,Gekko,13.8,14.9,4.6,0.495,0.032,192,0.001,141660
8,Sova,14.2,14.6,5.3,0.494,0.027999999999999997,202,0.001,125387
9,Skye,13.8,14.8,7.2,0.494,0.071,195,0.001,311770
10,Jett,17.0,15.5,3.7,0.493,0.07400000000000001,239,0.002,324579
11,Cypher,14.1,14.3,4.7,0.49200000000000005,0.040999999999999995,194,0.001,182099
12,Fade,13.8,14.9,6.0,0.49,0.026000000000000002,195,0.001,114995
13,Chamber,15.7,14.5,3.0,0.49,0.034,215,0.002,147808
14,Viper,14.3,14.6,5.2,0.489,0.027000000000000003,203,0.001,119778
15,Deadlock,14.5,14.9,3.9,0.48700000000000004,0.05,206,0.001,221922
16,Astra,14.9,14.5,5.6,0.48700000000000004,0.011000000000000001,205,0.001,50213
17,Omen,14.7,15.0,6.1,0.48200000000000004,0.07,206,0.001,306647
18,Breach,14.3,15.3,5.7,0.48100000000000004,0.021,201,0.001,92100
19,Neon,15.9,15.9,4.0,0.47100000000000003,0.017,225,0.002,74873
20,Yoru,15.5,15.4,4.1,0.46299999999999997,0.019,218,0.002,84362
21,KAY/O,13.8,15.3,7.9,0.455,0.02,199,0.001,87137
22,Harbor,13.6,15.2,5.4,0.45,0.006999999999999999,191,0.001,30150
