Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.5,8.0,0.512,0.084,205,0.001,365024
2,Reyna,17.9,15.1,4.6,0.506,0.12,253,0.002,521799
3,Killjoy,14.0,14.1,4.0,0.506,0.0579999999999999,199,0.001,253939
4,Phoenix,16.6,14.9,4.5,0.5,0.032,237,0.002,140739
5,Sage,13.0,14.6,6.8,0.498,0.0819999999999999,186,0.001,355155
6,Jett,17.2,15.4,3.9,0.497,0.083,243,0.002,360661
7,Raze,16.2,15.4,4.8,0.494,0.063,237,0.002,274791
8,Breach,14.2,15.1,6.3,0.493,0.059,201,0.001,257928
9,Cypher,14.2,14.3,4.9,0.493,0.032,198,0.001,140682
10,Gekko,13.6,14.9,4.8,0.491,0.032,191,0.001,139828
11,Viper,14.0,14.6,5.4,0.491,0.031,200,0.001,133350
12,Skye,13.6,14.8,7.3,0.491,0.051,193,0.001,220137
13,Neon,16.2,15.8,4.3,0.49,0.0279999999999999,231,0.002,123539
14,Chamber,15.9,14.6,3.2,0.49,0.032,219,0.002,139385
15,Fade,13.7,14.8,6.2,0.489,0.026,194,0.001,110934
16,Deadlock,14.6,14.8,4.0,0.487,0.049,210,0.001,214359
17,Astra,14.7,14.5,5.8,0.477,0.01,205,0.001,44789
18,Sova,13.9,14.7,5.4,0.475,0.021,200,0.001,89548
19,Omen,14.5,15.0,6.2,0.474,0.057,204,0.001,249481
20,Yoru,15.3,15.3,4.3,0.465,0.017,216,0.002,74337
21,Harbor,13.5,15.0,5.7,0.461,0.008,192,0.001,36307
22,KAY/O,13.7,15.2,8.3,0.46,0.022,200,0.001,95658
1,Brimstone,14.5,14.5,8.1,0.514,0.088,207,0.001,320334
2,Killjoy,14.2,14.1,4.0,0.506,0.0579999999999999,201,0.001,212112
3,Reyna,18.2,15.1,4.5,0.506,0.121,255,0.002,440614
4,Phoenix,16.9,15.0,4.6,0.505,0.032,239,0.002,115433
5,Sage,13.2,14.6,6.8,0.499,0.074,187,0.001,272206
6,Jett,17.4,15.5,3.9,0.497,0.089,245,0.002,326632
7,Raze,16.4,15.4,4.8,0.497,0.064,239,0.002,234290
8,Breach,14.4,15.1,6.4,0.494,0.064,202,0.001,234190
9,Chamber,16.2,14.7,3.2,0.492,0.033,222,0.002,121153
10,Cypher,14.4,14.4,4.9,0.492,0.032,200,0.001,118021
11,Neon,16.5,15.9,4.3,0.491,0.027,234,0.002,100342
12,Gekko,13.8,14.9,4.7,0.491,0.0289999999999999,193,0.001,107292
13,Viper,14.2,14.6,5.5,0.491,0.03,202,0.001,110851
14,Fade,13.9,14.8,6.2,0.491,0.025,195,0.001,90612
15,Skye,13.8,14.8,7.3,0.49,0.05,195,0.001,183185
16,Deadlock,14.8,14.9,4.0,0.489,0.053,209,0.001,193900
17,Astra,14.9,14.5,5.9,0.481,0.011,208,0.001,39979
18,Sova,14.1,14.7,5.4,0.478,0.019,202,0.001,68334
19,Omen,14.6,15.0,6.3,0.473,0.055,205,0.001,200129
20,Yoru,15.6,15.3,4.3,0.4679999999999999,0.016,219,0.002,58924
21,KAY/O,13.9,15.3,8.4,0.4629999999999999,0.021,202,0.001,77801
22,Harbor,13.8,15.0,5.8,0.462,0.008,194,0.001,28178
1,Brimstone,14.6,14.5,8.3,0.512,0.092,208,0.001,302900
2,Reyna,18.3,15.2,4.5,0.509,0.122,256,0.002,400793
3,Killjoy,14.3,14.2,4.0,0.507,0.0579999999999999,202,0.001,192771
4,Phoenix,17.1,15.0,4.6,0.506,0.031,242,0.002,102238
5,Sage,13.4,14.7,6.8,0.501,0.069,189,0.001,227736
6,Raze,16.6,15.5,4.8,0.498,0.065,241,0.002,213776
7,Jett,17.6,15.5,3.9,0.497,0.098,246,0.002,321504
8,Gekko,14.0,14.9,4.7,0.495,0.027,194,0.001,90257
9,Breach,14.5,15.2,6.5,0.493,0.068,203,0.001,225420
10,Fade,14.1,14.8,6.2,0.493,0.024,198,0.001,79855
11,Cypher,14.6,14.4,4.9,0.492,0.032,202,0.001,107063
12,Chamber,16.4,14.7,3.1,0.492,0.035,224,0.002,115331
13,Deadlock,15.0,14.9,4.0,0.492,0.051,212,0.001,169436
14,Skye,14.0,14.8,7.3,0.492,0.049,197,0.001,160126
15,Viper,14.5,14.6,5.5,0.49,0.03,204,0.001,97471
16,Neon,16.6,16.0,4.3,0.488,0.026,236,0.002,86189
17,Astra,15.1,14.5,6.0,0.487,0.011,208,0.001,36735
18,Sova,14.3,14.7,5.4,0.483,0.017,204,0.001,56607
19,Omen,14.7,15.0,6.5,0.473,0.052,206,0.001,170192
20,Yoru,15.7,15.4,4.3,0.465,0.015,220,0.002,47791
21,KAY/O,14.2,15.3,8.5,0.46,0.021,204,0.001,67746
22,Harbor,13.9,15.1,5.8,0.4579999999999999,0.0069999999999999,195,0.001,23753
