Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.5,8.0,0.512,0.084,205,0.001,365024
2,Reyna,17.9,15.1,4.6,0.506,0.12,253,0.002,521799
3,Killjoy,14.0,14.1,4.0,0.506,0.057999999999999996,199,0.001,253939
4,Phoenix,16.6,14.9,4.5,0.5,0.032,237,0.002,140739
5,Sage,13.0,14.6,6.8,0.498,0.08199999999999999,186,0.001,355155
6,Jett,17.2,15.4,3.9,0.49700000000000005,0.083,243,0.002,360661
7,Raze,16.2,15.4,4.8,0.494,0.063,237,0.002,274791
8,Breach,14.2,15.1,6.3,0.493,0.059000000000000004,201,0.001,257928
9,Cypher,14.2,14.3,4.9,0.493,0.032,198,0.001,140682
10,Gekko,13.6,14.9,4.8,0.491,0.032,191,0.001,139828
11,Viper,14.0,14.6,5.4,0.491,0.031,200,0.001,133350
12,Skye,13.6,14.8,7.3,0.491,0.051,193,0.001,220137
13,Neon,16.2,15.8,4.3,0.49,0.027999999999999997,231,0.002,123539
14,Chamber,15.9,14.6,3.2,0.49,0.032,219,0.002,139385
15,Fade,13.7,14.8,6.2,0.489,0.026000000000000002,194,0.001,110934
16,Deadlock,14.6,14.8,4.0,0.48700000000000004,0.049,210,0.001,214359
17,Astra,14.7,14.5,5.8,0.47700000000000004,0.01,205,0.001,44789
18,Sova,13.9,14.7,5.4,0.475,0.021,200,0.001,89548
19,Omen,14.5,15.0,6.2,0.474,0.057,204,0.001,249481
20,Yoru,15.3,15.3,4.3,0.465,0.017,216,0.002,74337
21,Harbor,13.5,15.0,5.7,0.461,0.008,192,0.001,36307
22,KAY/O,13.7,15.2,8.3,0.46,0.022000000000000002,200,0.001,95658
