Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.2,14.7,8.0,0.506,0.054,204,0.001,237191
2,Phoenix,16.9,15.2,4.5,0.505,0.036,239,0.002,160295
3,Reyna,17.8,15.3,4.5,0.501,0.123,250,0.002,539709
4,Sage,13.3,14.7,6.9,0.5,0.091,188,0.001,401468
5,Killjoy,13.9,14.3,3.7,0.499,0.054,197,0.001,237029
6,Jett,17.2,15.5,3.8,0.497,0.096,241,0.002,422844
7,Raze,16.3,15.5,4.7,0.496,0.057,237,0.002,251132
8,Sova,14.2,14.5,5.4,0.495,0.047,201,0.001,207127
9,Gekko,13.8,15.0,4.9,0.494,0.031,193,0.001,135946
10,Fade,13.9,15.0,6.3,0.493,0.022,197,0.001,96592
11,Cypher,14.4,14.4,4.8,0.491,0.03,200,0.001,132603
12,Deadlock,14.6,14.9,3.9,0.491,0.047,211,0.001,208857
13,Astra,14.8,14.5,5.9,0.49,0.013,205,0.001,57437
14,Skye,13.8,14.9,7.4,0.489,0.054,196,0.001,236508
15,Omen,14.7,15.0,6.7,0.489,0.103,206,0.001,454908
16,Breach,14.4,15.3,6.2,0.486,0.027,203,0.001,118534
17,Chamber,15.7,14.6,3.1,0.485,0.033,216,0.002,145727
18,Neon,15.9,16.0,4.1,0.481,0.019,227,0.002,83709
19,Viper,14.2,14.7,5.5,0.48,0.017,202,0.001,72920
20,Yoru,15.4,15.4,4.3,0.467,0.018,217,0.002,77456
21,KAY/O,13.9,15.3,8.4,0.457,0.022,201,0.001,96675
22,Harbor,13.6,15.2,5.8,0.45,0.005,193,0.001,23509
1,Phoenix,17.1,15.2,4.5,0.507,0.036,242,0.002,133987
2,Brimstone,14.3,14.8,8.2,0.504,0.053,205,0.001,196831
3,Reyna,18.0,15.4,4.5,0.503,0.124,252,0.002,457246
4,Killjoy,14.2,14.3,3.7,0.503,0.054,199,0.001,198596
5,Sage,13.5,14.7,6.9,0.502,0.085,190,0.001,314618
6,Sova,14.4,14.5,5.4,0.498,0.049,203,0.001,181406
7,Raze,16.5,15.6,4.7,0.498,0.0559999999999999,240,0.002,205589
8,Gekko,14.0,15.0,4.9,0.496,0.0279999999999999,195,0.001,104490
9,Fade,14.1,15.0,6.4,0.495,0.021,199,0.001,76649
10,Jett,17.4,15.6,3.8,0.494,0.105,243,0.002,387289
11,Skye,14.1,15.0,7.5,0.494,0.054,198,0.001,199658
12,Breach,14.5,15.3,6.3,0.492,0.0279999999999999,203,0.001,102792
13,Deadlock,14.8,15.0,3.9,0.492,0.051,214,0.001,188493
14,Astra,14.9,14.5,6.0,0.49,0.0139999999999999,207,0.001,51281
15,Cypher,14.6,14.4,4.8,0.49,0.03,201,0.001,109670
16,Omen,14.9,15.0,6.8,0.489,0.106,207,0.001,392149
17,Chamber,15.9,14.7,3.1,0.487,0.034,218,0.002,126301
18,Viper,14.4,14.7,5.6,0.479,0.015,204,0.001,54733
19,Neon,16.2,16.1,4.1,0.479,0.017,229,0.002,63608
20,Yoru,15.7,15.4,4.3,0.47,0.016,219,0.002,60672
21,KAY/O,14.1,15.4,8.5,0.457,0.021,203,0.001,77354
22,Harbor,13.9,15.2,5.8,0.4539999999999999,0.005,196,0.001,17079
