Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.1,15.2,4.5,0.507,0.036000000000000004,242,0.002,133987
2,Brimstone,14.3,14.8,8.2,0.504,0.053,205,0.001,196831
3,Reyna,18.0,15.4,4.5,0.503,0.124,252,0.002,457246
4,Killjoy,14.2,14.3,3.7,0.503,0.054000000000000006,199,0.001,198596
5,Sage,13.5,14.7,6.9,0.502,0.085,190,0.001,314618
6,Sova,14.4,14.5,5.4,0.498,0.049,203,0.001,181406
7,Raze,16.5,15.6,4.7,0.498,0.055999999999999994,240,0.002,205589
8,Gekko,14.0,15.0,4.9,0.496,0.027999999999999997,195,0.001,104490
9,Fade,14.1,15.0,6.4,0.495,0.021,199,0.001,76649
10,Jett,17.4,15.6,3.8,0.494,0.105,243,0.002,387289
11,Skye,14.1,15.0,7.5,0.494,0.054000000000000006,198,0.001,199658
12,Breach,14.5,15.3,6.3,0.49200000000000005,0.027999999999999997,203,0.001,102792
13,Deadlock,14.8,15.0,3.9,0.49200000000000005,0.051,214,0.001,188493
14,Astra,14.9,14.5,6.0,0.49,0.013999999999999999,207,0.001,51281
15,Cypher,14.6,14.4,4.8,0.49,0.03,201,0.001,109670
16,Omen,14.9,15.0,6.8,0.489,0.106,207,0.001,392149
17,Chamber,15.9,14.7,3.1,0.48700000000000004,0.034,218,0.002,126301
18,Viper,14.4,14.7,5.6,0.479,0.015,204,0.001,54733
19,Neon,16.2,16.1,4.1,0.479,0.017,229,0.002,63608
20,Yoru,15.7,15.4,4.3,0.47,0.016,219,0.002,60672
21,KAY/O,14.1,15.4,8.5,0.457,0.021,203,0.001,77354
22,Harbor,13.9,15.2,5.8,0.45399999999999996,0.005,196,0.001,17079
