Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,16.5,15.5,5.1,0.505,0.077,243,0.002,332964
2,Brimstone,14.3,14.8,7.9,0.504,0.046,206,0.001,200147
3,Reyna,17.9,15.2,4.5,0.502,0.12,251,0.002,520203
4,Killjoy,14.0,14.2,3.8,0.501,0.052,198,0.001,227807
5,Sage,13.3,14.7,7.0,0.499,0.081,187,0.001,349767
6,Phoenix,16.8,15.1,4.6,0.499,0.033,238,0.002,143713
7,Astra,14.9,14.5,5.8,0.498,0.0139999999999999,206,0.001,62557
8,Gekko,13.8,14.9,4.8,0.496,0.045,192,0.001,195603
9,Jett,17.2,15.5,3.9,0.496,0.083,242,0.002,361284
10,Breach,14.3,15.2,6.5,0.495,0.036,202,0.001,154418
11,Chamber,16.0,14.6,3.1,0.494,0.039,220,0.002,169270
12,Viper,14.5,14.6,5.6,0.494,0.024,205,0.001,102600
13,Deadlock,14.6,14.9,3.9,0.492,0.05,213,0.001,217673
14,Skye,13.7,14.9,7.8,0.491,0.062,194,0.001,269878
15,Omen,14.7,15.0,6.4,0.49,0.091,206,0.001,395454
16,Fade,13.8,14.9,6.2,0.488,0.024,194,0.001,106043
17,Neon,16.1,16.0,4.3,0.485,0.023,230,0.002,97740
18,Cypher,14.3,14.4,4.7,0.482,0.025,198,0.001,108414
19,Sova,14.1,14.7,5.4,0.48,0.022,201,0.001,97060
20,Harbor,13.8,15.1,5.8,0.47,0.0139999999999999,194,0.001,61734
21,Yoru,15.3,15.4,4.3,0.4579999999999999,0.017,215,0.001,73091
22,KAY/O,13.8,15.3,8.6,0.4579999999999999,0.022,200,0.001,95113
1,Raze,16.8,15.6,5.1,0.506,0.079,246,0.002,287823
2,Phoenix,17.0,15.1,4.6,0.506,0.032,241,0.002,117391
3,Brimstone,14.4,14.8,8.0,0.505,0.045,207,0.001,163354
4,Killjoy,14.2,14.2,3.8,0.503,0.052,200,0.001,190796
5,Sage,13.4,14.7,7.0,0.503,0.073,189,0.001,266354
6,Reyna,18.1,15.3,4.4,0.503,0.119,253,0.002,434439
7,Astra,15.1,14.5,5.9,0.502,0.016,209,0.001,57095
8,Chamber,16.3,14.6,3.1,0.501,0.0409999999999999,223,0.002,151168
9,Gekko,14.0,15.0,4.8,0.496,0.044,193,0.001,161223
10,Jett,17.5,15.6,3.8,0.495,0.089,244,0.002,325756
11,Breach,14.4,15.2,6.6,0.494,0.038,202,0.001,137282
12,Omen,14.9,15.0,6.6,0.493,0.093,207,0.001,339343
13,Skye,13.9,14.9,7.9,0.492,0.063,196,0.001,228396
14,Deadlock,14.8,14.9,3.9,0.491,0.055,209,0.001,199183
15,Fade,14.0,14.9,6.3,0.491,0.023,197,0.001,85183
16,Viper,14.6,14.7,5.6,0.49,0.022,207,0.001,82103
17,Cypher,14.5,14.4,4.7,0.485,0.024,200,0.001,88083
18,Sova,14.4,14.8,5.4,0.485,0.02,204,0.001,74759
19,Neon,16.4,16.0,4.2,0.484,0.021,232,0.002,76571
20,Yoru,15.6,15.5,4.3,0.47,0.016,218,0.002,56779
21,Harbor,13.9,15.1,5.9,0.465,0.0139999999999999,194,0.001,51365
22,KAY/O,14.0,15.4,8.7,0.456,0.021,202,0.001,75274
1,Raze,17.0,15.6,5.0,0.508,0.081,248,0.002,266823
2,Brimstone,14.5,14.8,8.1,0.508,0.043,208,0.001,142698
3,Killjoy,14.4,14.2,3.7,0.506,0.053,201,0.001,172800
4,Phoenix,17.2,15.2,4.6,0.504,0.031,243,0.002,103307
5,Gekko,14.1,14.9,4.8,0.504,0.044,194,0.001,144855
6,Reyna,18.2,15.3,4.4,0.503,0.12,254,0.002,395425
7,Astra,15.3,14.5,6.0,0.502,0.017,210,0.001,54892
8,Sage,13.6,14.8,7.0,0.502,0.067,191,0.001,221736
9,Chamber,16.5,14.7,3.0,0.501,0.044,224,0.002,143745
10,Jett,17.6,15.6,3.8,0.498,0.095,246,0.002,313925
11,Skye,14.1,14.9,7.9,0.497,0.062,198,0.001,205044
12,Breach,14.5,15.2,6.7,0.496,0.039,203,0.001,128729
13,Omen,15.0,15.0,6.7,0.493,0.095,208,0.001,311335
14,Viper,14.8,14.7,5.6,0.492,0.021,208,0.001,69445
15,Deadlock,15.0,14.9,3.9,0.491,0.054,217,0.001,176250
16,Cypher,14.6,14.4,4.7,0.489,0.024,201,0.001,77680
17,Fade,14.2,15.0,6.3,0.488,0.023,198,0.001,74721
18,Neon,16.5,16.1,4.2,0.486,0.02,233,0.002,64173
19,Sova,14.5,14.8,5.4,0.48,0.019,206,0.001,63575
20,Harbor,14.0,15.1,5.9,0.471,0.0139999999999999,196,0.001,46361
21,Yoru,15.7,15.5,4.3,0.4679999999999999,0.0139999999999999,219,0.002,47542
22,KAY/O,14.2,15.4,8.7,0.456,0.019,204,0.001,63653
