Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,17.0,15.6,5.0,0.508,0.081,248,0.002,266823
2,Brimstone,14.5,14.8,8.1,0.508,0.043,208,0.001,142698
3,Killjoy,14.4,14.2,3.7,0.506,0.053,201,0.001,172800
4,Phoenix,17.2,15.2,4.6,0.504,0.031,243,0.002,103307
5,Gekko,14.1,14.9,4.8,0.504,0.044000000000000004,194,0.001,144855
6,Reyna,18.2,15.3,4.4,0.503,0.12,254,0.002,395425
7,Astra,15.3,14.5,6.0,0.502,0.017,210,0.001,54892
8,Sage,13.6,14.8,7.0,0.502,0.067,191,0.001,221736
9,Chamber,16.5,14.7,3.0,0.501,0.044000000000000004,224,0.002,143745
10,Jett,17.6,15.6,3.8,0.498,0.095,246,0.002,313925
11,Skye,14.1,14.9,7.9,0.49700000000000005,0.062,198,0.001,205044
12,Breach,14.5,15.2,6.7,0.496,0.039,203,0.001,128729
13,Omen,15.0,15.0,6.7,0.493,0.095,208,0.001,311335
14,Viper,14.8,14.7,5.6,0.49200000000000005,0.021,208,0.001,69445
15,Deadlock,15.0,14.9,3.9,0.491,0.054000000000000006,217,0.001,176250
16,Cypher,14.6,14.4,4.7,0.489,0.024,201,0.001,77680
17,Fade,14.2,15.0,6.3,0.488,0.023,198,0.001,74721
18,Neon,16.5,16.1,4.2,0.486,0.02,233,0.002,64173
19,Sova,14.5,14.8,5.4,0.48,0.019,206,0.001,63575
20,Harbor,14.0,15.1,5.9,0.47100000000000003,0.013999999999999999,196,0.001,46361
21,Yoru,15.7,15.5,4.3,0.46799999999999997,0.013999999999999999,219,0.002,47542
22,KAY/O,14.2,15.4,8.7,0.456,0.019,204,0.001,63653
