Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,16.9,15.1,4.7,0.507,0.037,240,0.002,159903
2,Gekko,13.8,14.8,5.0,0.506,0.042,192,0.001,182326
3,Astra,14.8,14.2,6.1,0.506,0.024,205,0.001,105261
4,Brimstone,14.1,14.7,7.8,0.505,0.045,204,0.001,198178
5,Killjoy,13.9,14.1,4.0,0.505,0.048,198,0.001,209758
6,Reyna,17.9,15.2,4.6,0.502,0.123,252,0.002,534185
7,Viper,14.4,14.5,5.8,0.498,0.047,204,0.001,203550
8,Sage,13.0,14.7,7.0,0.496,0.084,185,0.001,367512
9,Jett,17.1,15.4,3.9,0.495,0.092,241,0.002,402617
10,Fade,13.9,14.9,6.3,0.495,0.034,196,0.001,147471
11,Raze,16.2,15.5,5.0,0.494,0.053,238,0.002,229905
12,Skye,13.7,14.9,7.7,0.492,0.0579999999999999,195,0.001,251998
13,Cypher,14.2,14.2,4.9,0.491,0.032,197,0.001,140543
14,Deadlock,14.6,14.9,4.1,0.489,0.048,210,0.001,210746
15,Chamber,15.9,14.5,3.2,0.486,0.04,218,0.002,176201
16,Sova,14.1,14.6,5.5,0.484,0.026,202,0.001,114825
17,Breach,14.4,15.3,6.2,0.483,0.019,204,0.001,82285
18,Neon,16.1,15.9,4.3,0.482,0.022,229,0.002,94064
19,Omen,14.6,15.0,6.2,0.481,0.059,205,0.001,256899
20,Yoru,15.6,15.4,4.4,0.472,0.019,220,0.002,83153
21,Harbor,13.5,15.0,6.0,0.472,0.023,191,0.001,99737
22,KAY/O,13.8,15.3,8.1,0.455,0.024,200,0.001,105506
1,Brimstone,14.3,14.7,7.9,0.507,0.044,206,0.001,160794
2,Phoenix,17.1,15.1,4.7,0.506,0.037,243,0.002,134189
3,Killjoy,14.1,14.1,3.9,0.505,0.047,200,0.001,172785
4,Reyna,18.2,15.3,4.6,0.505,0.123,255,0.002,450450
5,Gekko,14.0,14.9,5.0,0.505,0.0409999999999999,194,0.001,149298
6,Astra,14.9,14.3,6.2,0.503,0.0279999999999999,206,0.001,101663
7,Viper,14.5,14.5,5.9,0.5,0.048,206,0.001,174170
8,Sage,13.2,14.7,7.0,0.5,0.077,187,0.001,280867
9,Fade,14.1,14.9,6.4,0.498,0.034,199,0.001,124629
10,Raze,16.5,15.6,4.9,0.497,0.052,240,0.002,189376
11,Cypher,14.4,14.3,4.9,0.494,0.032,199,0.001,117593
12,Jett,17.3,15.5,3.9,0.494,0.1,243,0.002,367595
13,Skye,13.9,14.9,7.8,0.493,0.059,197,0.001,214968
14,Deadlock,14.8,14.9,4.1,0.49,0.052,211,0.001,191625
15,Chamber,16.1,14.5,3.2,0.488,0.042,220,0.002,154052
16,Sova,14.4,14.6,5.6,0.485,0.025,205,0.001,92067
17,Omen,14.8,15.0,6.4,0.483,0.0559999999999999,207,0.001,204696
18,Neon,16.3,16.0,4.2,0.481,0.02,231,0.002,73502
19,Breach,14.5,15.3,6.2,0.481,0.018,205,0.001,67133
20,Yoru,15.8,15.4,4.4,0.472,0.018,222,0.002,65695
21,Harbor,13.7,15.0,6.0,0.4679999999999999,0.024,192,0.001,87313
22,KAY/O,14.0,15.3,8.2,0.4589999999999999,0.023,202,0.001,85189
