Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.7,7.9,0.507,0.044000000000000004,206,0.001,160794
2,Phoenix,17.1,15.1,4.7,0.506,0.037000000000000005,243,0.002,134189
3,Killjoy,14.1,14.1,3.9,0.505,0.047,200,0.001,172785
4,Reyna,18.2,15.3,4.6,0.505,0.12300000000000001,255,0.002,450450
5,Gekko,14.0,14.9,5.0,0.505,0.040999999999999995,194,0.001,149298
6,Astra,14.9,14.3,6.2,0.503,0.027999999999999997,206,0.001,101663
7,Viper,14.5,14.5,5.9,0.5,0.048,206,0.001,174170
8,Sage,13.2,14.7,7.0,0.5,0.077,187,0.001,280867
9,Fade,14.1,14.9,6.4,0.498,0.034,199,0.001,124629
10,Raze,16.5,15.6,4.9,0.49700000000000005,0.052000000000000005,240,0.002,189376
11,Cypher,14.4,14.3,4.9,0.494,0.032,199,0.001,117593
12,Jett,17.3,15.5,3.9,0.494,0.1,243,0.002,367595
13,Skye,13.9,14.9,7.8,0.493,0.059000000000000004,197,0.001,214968
14,Deadlock,14.8,14.9,4.1,0.49,0.052000000000000005,211,0.001,191625
15,Chamber,16.1,14.5,3.2,0.488,0.042,220,0.002,154052
16,Sova,14.4,14.6,5.6,0.485,0.025,205,0.001,92067
17,Omen,14.8,15.0,6.4,0.483,0.055999999999999994,207,0.001,204696
18,Neon,16.3,16.0,4.2,0.48100000000000004,0.02,231,0.002,73502
19,Breach,14.5,15.3,6.2,0.48100000000000004,0.018000000000000002,205,0.001,67133
20,Yoru,15.8,15.4,4.4,0.47200000000000003,0.018000000000000002,222,0.002,65695
21,Harbor,13.7,15.0,6.0,0.46799999999999997,0.024,192,0.001,87313
22,KAY/O,14.0,15.3,8.2,0.45899999999999996,0.023,202,0.001,85189
