Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,13.4,14.7,7.3,0.506,0.106,190,0.001,464048
2,Reyna,17.8,15.3,4.5,0.504,0.118,251,0.002,516156
3,Phoenix,16.7,15.2,4.7,0.5,0.033,238,0.002,146132
4,Killjoy,14.2,14.3,4.0,0.5,0.05,202,0.001,220862
5,Brimstone,14.4,14.8,8.0,0.499,0.05,208,0.001,218192
6,Raze,16.5,15.6,5.0,0.499,0.079,242,0.002,346261
7,Skye,13.8,14.8,7.7,0.494,0.063,196,0.001,276823
8,Cypher,14.6,14.3,4.9,0.494,0.042,202,0.001,185834
9,Jett,17.1,15.6,4.0,0.494,0.0819999999999999,241,0.002,359822
10,Gekko,13.9,15.0,4.7,0.493,0.032,194,0.001,139962
11,Astra,15.0,14.5,6.0,0.49,0.018,209,0.001,78754
12,Omen,15.0,15.0,6.5,0.489,0.092,209,0.001,402490
13,Viper,14.4,14.6,5.4,0.489,0.026,204,0.001,113869
14,Fade,13.9,14.9,6.0,0.488,0.023,197,0.001,99403
15,Deadlock,14.7,14.9,4.0,0.487,0.049,211,0.001,216774
16,Breach,14.4,15.3,6.1,0.483,0.024,204,0.001,106985
17,Sova,14.3,14.8,5.3,0.482,0.024,204,0.001,104319
18,Chamber,15.8,14.8,3.2,0.479,0.025,218,0.002,110347
19,Neon,15.9,16.0,4.2,0.473,0.018,226,0.002,80486
20,Yoru,15.5,15.3,4.3,0.465,0.017,218,0.001,72796
21,KAY/O,13.9,15.4,8.2,0.46,0.023,200,0.001,101567
22,Harbor,13.8,15.2,5.6,0.451,0.006,194,0.001,25798
1,Sage,13.6,14.7,7.3,0.507,0.102,193,0.001,377032
2,Reyna,18.0,15.4,4.5,0.502,0.1169999999999999,252,0.002,432711
3,Raze,16.7,15.7,5.0,0.502,0.0819999999999999,244,0.002,301375
4,Killjoy,14.4,14.3,3.9,0.5,0.049,204,0.001,180541
5,Brimstone,14.5,14.9,8.2,0.499,0.048,209,0.001,178079
6,Phoenix,16.9,15.2,4.7,0.498,0.032,241,0.002,119436
7,Skye,14.0,14.9,7.8,0.494,0.065,198,0.001,240899
8,Astra,15.3,14.5,6.1,0.494,0.02,211,0.001,73678
9,Gekko,14.1,15.0,4.7,0.493,0.0289999999999999,195,0.001,107986
10,Omen,15.1,15.0,6.6,0.493,0.093,211,0.001,344178
11,Jett,17.3,15.7,3.9,0.492,0.088,243,0.002,324968
12,Cypher,14.7,14.4,4.9,0.491,0.043,203,0.001,159219
13,Deadlock,15.0,14.9,4.0,0.491,0.053,215,0.001,196630
14,Fade,14.1,15.0,6.0,0.486,0.021,199,0.001,78325
15,Viper,14.6,14.6,5.4,0.485,0.024,206,0.001,88905
16,Breach,14.6,15.3,6.2,0.483,0.025,205,0.001,91936
17,Sova,14.4,14.7,5.3,0.482,0.022,205,0.001,81859
18,Chamber,16.1,14.9,3.2,0.481,0.026,221,0.002,94261
19,Neon,16.0,16.0,4.2,0.479,0.016,228,0.002,59771
20,Yoru,15.8,15.4,4.4,0.469,0.016,221,0.002,57530
21,KAY/O,14.1,15.4,8.2,0.4539999999999999,0.022,203,0.001,82088
22,Harbor,13.9,15.2,5.6,0.444,0.005,195,0.001,19392
1,Sage,13.8,14.7,7.4,0.512,0.1009999999999999,195,0.001,334992
2,Phoenix,17.2,15.3,4.7,0.504,0.031,243,0.002,104708
3,Reyna,18.1,15.4,4.5,0.503,0.118,253,0.002,391245
4,Killjoy,14.6,14.3,3.9,0.503,0.047,205,0.001,157834
5,Brimstone,14.6,14.9,8.4,0.503,0.048,210,0.001,158420
6,Raze,16.9,15.7,4.9,0.502,0.085,246,0.002,282695
7,Astra,15.4,14.5,6.2,0.498,0.022,212,0.001,71817
8,Skye,14.2,14.9,7.8,0.497,0.067,200,0.001,223085
9,Gekko,14.2,15.0,4.7,0.494,0.027,196,0.001,90841
10,Jett,17.5,15.7,3.9,0.493,0.094,244,0.002,312370
11,Cypher,14.8,14.4,4.9,0.493,0.044,205,0.001,145142
12,Omen,15.2,15.0,6.8,0.493,0.095,211,0.001,316297
13,Deadlock,15.1,14.9,4.0,0.488,0.052,217,0.001,173325
14,Fade,14.3,15.0,6.0,0.488,0.02,201,0.001,66941
15,Breach,14.6,15.3,6.3,0.484,0.025,205,0.001,82048
16,Chamber,16.2,14.9,3.1,0.483,0.026,222,0.002,86231
17,Viper,14.7,14.7,5.5,0.482,0.022,207,0.001,73958
18,Sova,14.6,14.8,5.3,0.48,0.021,207,0.001,69929
19,Neon,16.2,16.1,4.2,0.475,0.0139999999999999,230,0.002,47908
20,Yoru,15.9,15.4,4.3,0.467,0.0139999999999999,222,0.002,47365
21,KAY/O,14.2,15.4,8.3,0.46,0.022,204,0.001,72211
22,Harbor,14.1,15.2,5.6,0.447,0.005,198,0.001,15324
