Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,13.4,14.7,7.3,0.506,0.106,190,0.001,464048
2,Reyna,17.8,15.3,4.5,0.504,0.11800000000000001,251,0.002,516156
3,Phoenix,16.7,15.2,4.7,0.5,0.033,238,0.002,146132
4,Killjoy,14.2,14.3,4.0,0.5,0.05,202,0.001,220862
5,Brimstone,14.4,14.8,8.0,0.499,0.05,208,0.001,218192
6,Raze,16.5,15.6,5.0,0.499,0.079,242,0.002,346261
7,Skye,13.8,14.8,7.7,0.494,0.063,196,0.001,276823
8,Cypher,14.6,14.3,4.9,0.494,0.042,202,0.001,185834
9,Jett,17.1,15.6,4.0,0.494,0.08199999999999999,241,0.002,359822
10,Gekko,13.9,15.0,4.7,0.493,0.032,194,0.001,139962
11,Astra,15.0,14.5,6.0,0.49,0.018000000000000002,209,0.001,78754
12,Omen,15.0,15.0,6.5,0.489,0.092,209,0.001,402490
13,Viper,14.4,14.6,5.4,0.489,0.026000000000000002,204,0.001,113869
14,Fade,13.9,14.9,6.0,0.488,0.023,197,0.001,99403
15,Deadlock,14.7,14.9,4.0,0.48700000000000004,0.049,211,0.001,216774
16,Breach,14.4,15.3,6.1,0.483,0.024,204,0.001,106985
17,Sova,14.3,14.8,5.3,0.48200000000000004,0.024,204,0.001,104319
18,Chamber,15.8,14.8,3.2,0.479,0.025,218,0.002,110347
19,Neon,15.9,16.0,4.2,0.473,0.018000000000000002,226,0.002,80486
20,Yoru,15.5,15.3,4.3,0.465,0.017,218,0.001,72796
21,KAY/O,13.9,15.4,8.2,0.46,0.023,200,0.001,101567
22,Harbor,13.8,15.2,5.6,0.451,0.006,194,0.001,25798
